X,Y,method,covar,alternative,n,r,CI95%,p-unc,p-corr,p-adjust,r2
Yield_Mg_ha,Es_pEmeEnJ,spearman,['PRS50'],two-sided,94762,-8.451746785948504e-05,[-0.01  0.01],0.979243857859684,1.0,bonf,7.143202373379088e-09
Yield_Mg_ha,CoverGreen_pGerEme,spearman,['PRS50'],two-sided,94762,-0.00046557561495900703,[-0.01  0.01],0.8860394057980543,1.0,bonf,2.1676065324445758e-07
Yield_Mg_ha,Flow_pFloFla_4,spearman,['PRS50'],two-sided,94762,-0.0008149813480060572,[-0.01  0.01],0.8019110015298141,1.0,bonf,6.641945975977701e-07
Yield_Mg_ha,Flow_pFlwStG_4,spearman,['PRS50'],two-sided,94762,0.001227029696014864,[-0.01  0.01],0.7056422630839894,1.0,bonf,1.5056018749023294e-06
Yield_Mg_ha,SDR_pStGEnG_6,spearman,['PRS50'],two-sided,94762,-0.001258767569971065,[-0.01  0.01],0.6983972462749994,1.0,bonf,1.5844957952108599e-06
Yield_Mg_ha,Es_pFloFla,spearman,['PRS50'],two-sided,94762,0.0028338687553847186,[-0.    0.01],0.38301864265445507,1.0,bonf,8.030812122745734e-06
Yield_Mg_ha,Flux_pGerEme_1,spearman,['PRS50'],two-sided,94762,0.003058161561637552,[-0.    0.01],0.34650398279344496,1.0,bonf,9.352352137077431e-06
Yield_Mg_ha,Flow_pMatHar_9,spearman,['PRS50'],two-sided,94762,0.0031842809337023024,[-0.    0.01],0.3269797545817682,1.0,bonf,1.0139645064740007e-05
Yield_Mg_ha,FlowNO3_pStGEnG_1,spearman,['PRS50'],two-sided,94762,-0.0040194697148912256,[-0.01  0.  ],0.2159708741830779,1.0,bonf,1.615613678892775e-05
Yield_Mg_ha,Flux_pFlwStG_9,spearman,['PRS50'],two-sided,94762,-0.004237238260525158,[-0.01  0.  ],0.1921144992246924,1.0,bonf,1.7954188076458265e-05
Yield_Mg_ha,Flow_pEmeEnJ_2,spearman,['PRS50'],two-sided,94762,-0.004907553363546021,[-0.01  0.  ],0.13086622789707622,1.0,bonf,2.408408001605186e-05
Yield_Mg_ha,FlowNO3_pEnGMat_9,spearman,['PRS50'],two-sided,94762,-0.005270903072272249,[-0.01  0.  ],0.10468639858141635,1.0,bonf,2.7782419197289036e-05
Yield_Mg_ha,Sulfate-S ppm S,spearman,['PRS50'],two-sided,76441,-0.005534763992672419,[-0.01  0.  ],0.12596071640828865,1.0,bonf,3.063361245458314e-05
Yield_Mg_ha,Flux_pMatHar_1,spearman,['PRS50'],two-sided,94762,0.00556022395694563,[-0.    0.01],0.08696862609824504,1.0,bonf,3.091609045139212e-05
Yield_Mg_ha,SDR_pStGEnG_4,spearman,['PRS50'],two-sided,94762,0.0058258598979683196,[-0.    0.01],0.07291186131389141,1.0,bonf,3.394064355075544e-05
Yield_Mg_ha,Flow_pEnJFlo_3,spearman,['PRS50'],two-sided,94762,0.005883312671258731,[-0.    0.01],0.07013031360579625,1.0,bonf,3.4613367987793546e-05
Yield_Mg_ha,Flux_pStGEnG_1,spearman,['PRS50'],two-sided,94762,-0.006183538084405502,[-0.01  0.  ],0.056976819840282696,1.0,bonf,3.823614324129327e-05
