Env,Treatment,Latitude_of_Field_Corner_#1 (lower left),Longitude_of_Field_Corner_#1 (lower left)
TXH1-Early_2017,Standard,,
TXH1-Late_2017,Standard,,
IAH1b_2014,"",,
IAH1c_2014,"",,
ARH1_2016,"",34.729884,-90.759742
ARH1_2017,Standard,34.729874,-90.759769
ARH1_2018,Standard,34.729169,-90.760887
ARH2_2016,Standard,35.838816,-90.665006
ARH2_2017,Standard,35.674718,-90.07489
ARH2_2018,Standard,35.673794,-90.075296
COH1_2017,Drought,40.647855,-105.000257
COH1_2021,Drought,40.6476,-104.9957
DEH1_2014,"",,
DEH1_2015,"",38.629977,-75.465973
DEH1_2016,"",38.64865,-75.45159
DEH1_2017,Standard,38.669557,-75.433932
DEH1_2018,Standard,38.649088,-75.450174
DEH1_2019,Standard,38.6698,-75.4341
DEH1_2020,Standard,38.630059,-75.466066
DEH1_2021,Standard,38.635,-75.458
WIH1_2014,"",,
GAH1_2014,"",,
GAH1_2015,"",31.506502,-83.554962
GAH1_2016,Standard,31.50822,-83.559182
GAH1_2017,Standard,31.508253,-83.559239
GAH1_2018,Standard,31.506548,-83.55493
GAH1_2019,Standard,31.506548,-83.55493
GAH1_2020,Standard,31.508254,-83.559249
GAH1_2021,Standard,31.508254,-83.559249
GAH2_2016,Standard,33.71736,-83.31141
GAH2_2017,Standard,33.726862,-83.297769
GAH2_2018,Standard,33.714938,-83.309224
GAH2_2019,Standard,33.721111,-83.307778
GAH2_2020,Standard,33.723144,-83.303353
GAH2_2021,Standard,33.7147791,-83.3100044
GEH1_2019,Standard,51.501631,9.937345
GEH1_2020,Standard,51.494772,9.923347
GEH1_2021,Standard,51.470534,9.926148
IAH1a_2014,"",,
IAH1_2015,"",41.99825412,-93.69447028
IAH1_2016,Standard,,
IAH1_2017,Standard,41.19942883,-91.49516276
IAH1_2018,Standard,,
IAH1_2019,Standard,41.1994375,-91.49519078
IAH1_2020,Standard,41.19863411,-91.48738002
IAH1_2021,Standard,41.19959334,-91.4951509
IAH2_2014,"",,
IAH2_2016,Standard,,
IAH2_2017,Standard,42.06455508,-94.72074524
IAH2_2018,Standard,,
IAH2_2019,Standard,42.06453313,-94.72084876
IAH2_2021,Standard,42.06455628,-94.7211393
IAH3_2014,"",,
IAH3_2015,"",41.97577808,-92.24139608
IAH3_2016,Standard,,
IAH3_2017,Standard,41.97575167,-92.24144143
IAH3_2018,Standard,,
IAH3_2019,Standard,41.97579183,-92.24135954
IAH3_2021,Standard,41.97559974,-92.2413595
IAH4_2014,"",,
IAH4_2015,"",41.19981657,-91.4951794
IAH4_2016,Standard,,
IAH4_2017,Standard,41.99439403,-93.68863495
IAH4_2018,Standard,,
IAH4_2019,Standard,42.03217123,-93.79508048
IAH4_2021,Standard,41.99856485,-93.695864
ILH1_2014,"",,
ILH1_2015,"",40.060306,-88.233648
ILH1_2016,Standard,40.061188,-88.233272
ILH1_2017,"",,
ILH1_2018,Standard,40.063426,-88.228307
ILH1_2019,Standard,40.059138,-88.229125
ILH1_2021,Standard,,
INH1_2014,"",,
INH1_2015,"",40.47666,-87.00056
INH1_2016,"",40.478351,-86.990135
INH1_2017,"",,
INH1_2018,Standard,40.478359,-86.990129
INH1_2019,Standard,40.476661,-87.000529
INH1_2020,Standard,40.478355,-86.990133
INH1_2021,Standard,40.476658,-86.998063
KSH1_2015,"",39.215864,-96.605189
KSH1_2016,Standard,39.14409,-96.629383
KSH1_2018,Drought,37.810416,-100.775703
MIH1_2016,Standard,42.411797,-84.295393
MIH1_2017,Standard,42.681899,-84.494063
MIH1_2018,Standard,42.68848,-84.497841
MIH1_2019,Standard,42.707672,-84.471602
MIH1_2020,Standard,42.708226,-84.46955
MIH1_2021,Standard,42.707408,-84.469519
MNH1_2014,"",,
MNH1_2015,"",44.070989,-93.534855
