Env,Hybrid,Yield_Mg_ha
NCH1_2022,B14A/H95,8.464401005267105
NCH1_2022,B14A/MO17,8.393712320906705
NCH1_2022,B14A/OH43,8.415726172226181
NCH1_2022,B37/H95,8.307745525548526
NCH1_2022,B37/MO17,8.370027672450263
NCH1_2022,B37/OH43,8.301134884470748
NCH1_2022,B73/MO17,8.836104529021554
NCH1_2022,B73/PHK76,8.715318761984612
NCH1_2022,B73/PHM49,8.866127795841317
NCH1_2022,B73/PHN82,8.981334954023835
NCH1_2022,B73/PHZ51,8.461816200556754
NCH1_2022,B73/TX779,8.527403800460922
NCH1_2022,B97/LH244,8.67415904397826
NCH1_2022,BGEM-0039-N/LH244,8.339412564548846
NCH1_2022,BGEM-0063-N/LH244,8.346655694424236
NCH1_2022,BGEM-0089-N/LH244,8.449221876869096
NCH1_2022,BGEM-0124-N/LH244,8.298735979808503
NCH1_2022,BGEM-0129-N/LH244,8.642657742838919
NCH1_2022,CG119/CG108,7.865096215174431
NCH1_2022,CG44/CGR01,8.293145688613883
NCH1_2022,DK3IIH6/LH244,8.479371382203624
NCH1_2022,DK78010/LH244,8.687666997039663
NCH1_2022,F42/H95,8.513026754339341
NCH1_2022,F42/MO17,8.79986533981975
NCH1_2022,F42/OH43,8.559801833066576
NCH1_2022,GEMN-0096/LH244,8.572930271706042
NCH1_2022,GEMN-0096_LH212HT_0001/LH244,8.686266938511226
NCH1_2022,GEMN-0096_LH212HT_0002/LH244,8.715186346401811
NCH1_2022,GEMN-0096_LH212HT_0003/LH244,8.738042667403636
NCH1_2022,GEMN-0096_LH212HT_0004/LH244,8.708411574050874
NCH1_2022,GEMN-0096_LH212HT_0005/LH244,8.716166192784385
NCH1_2022,GEMN-0096_LH212HT_0006/LH244,8.693237730383396
NCH1_2022,GEMN-0096_LH212HT_0008/LH244,8.655167648911156
NCH1_2022,GEMN-0096_LH212HT_0009/LH244,8.690770411943417
NCH1_2022,GEMN-0096_LH212HT_0010/LH244,8.581221446226273
NCH1_2022,GEMN-0096_LH212HT_0011/LH244,8.70260296672689
NCH1_2022,GEMN-0096_LH212HT_0012/LH244,8.69258380224306
NCH1_2022,GEMN-0096_LH212HT_0013/LH244,8.719681271911078
NCH1_2022,GEMN-0096_LH212HT_0014/LH244,8.69903212962229
NCH1_2022,GEMN-0096_LH212HT_0017/LH244,8.672724483672086
NCH1_2022,GEMN-0096_LH212HT_0020/LH244,8.679225860710497
NCH1_2022,GEMN-0096_LH212HT_0021/LH244,8.70198773398433
NCH1_2022,GEMN-0096_LH212HT_0027/LH244,8.674741741519757
NCH1_2022,GEMN-0096_PHJ89_0001/LH244,8.585700667084552
NCH1_2022,GEMN-0096_PHJ89_0002/LH244,8.690065845699086
NCH1_2022,GEMN-0096_PHJ89_0006/LH244,8.673667337058898
NCH1_2022,GEMN-0096_PHJ89_0007/LH244,8.586433131580147
NCH1_2022,GEMN-0096_PHJ89_0009/LH244,8.63836831908661
NCH1_2022,GEMN-0096_PHJ89_0010/LH244,8.57086594641996
NCH1_2022,GEMN-0096_PHJ89_0011/LH244,8.63504424161413
NCH1_2022,GEMN-0096_PHJ89_0012/LH244,8.656830617623989
NCH1_2022,GEMN-0096_PHJ89_0013/LH244,8.679231403284257
NCH1_2022,GEMN-0096_PHJ89_0014/LH244,8.620536492773953
NCH1_2022,GEMN-0096_PHJ89_0016/LH244,8.54806378356638
NCH1_2022,GEMN-0096_PHJ89_0017/LH244,8.628380780049085
NCH1_2022,GEMN-0096_PHK76_0001/LH244,8.342772578146265
NCH1_2022,GEMN-0096_PHK76_0002/LH244,8.362516514063529
NCH1_2022,GEMN-0096_PHK76_0003/LH244,8.379276882751048
NCH1_2022,GEMN-0096_PHK76_0004/LH244,8.351624289674788
NCH1_2022,GEMN-0096_PHK76_0006/LH244,8.388551801087845
NCH1_2022,GEMN-0096_PHK76_0007/LH244,8.381124878766023
NCH1_2022,GEMN-0096_PHK76_0008/LH244,8.36688242111505
NCH1_2022,GEMN-0096_PHK76_0009/LH244,8.310278078941147
NCH1_2022,GEMN-0096_PHK76_0010/LH244,8.336148241407892
NCH1_2022,GEMN-0096_PHK76_0013/LH244,8.301312699189271
NCH1_2022,GEMN-0096_PHK76_0015/LH244,8.324091558230823
NCH1_2022,GEMN-0096_PHK76_0016/LH244,8.329590896928549
NCH1_2022,GEMN-0096_PHN46_0001/LH244,8.561339431088788
NCH1_2022,GEMN-0096_PHN46_0002/LH244,8.617989503071778
NCH1_2022,GEMN-0096_PHN46_0003/LH244,8.62069993248177
NCH1_2022,GEMN-0096_PHN46_0004/LH244,8.540960569444902
NCH1_2022,GEMN-0096_PHN46_0005/LH244,8.649136671065941
NCH1_2022,GEMN-0096_PHN46_0007/LH244,8.698527675188851
NCH1_2022,GEMN-0096_PHN46_0008/LH244,8.660081114945068
NCH1_2022,GEMN-0096_PHN46_0009/LH244,8.380909191639882
NCH1_2022,GEMN-0096_PHN46_0010/LH244,8.737837727079064
NCH1_2022,GEMN-0096_PHN46_0011/LH244,8.530783277094736
NCH1_2022,GEMN-0096_PHN46_0012/LH244,8.576957775894614
NCH1_2022,GEMN-0096_PHN46_0013/LH244,8.410159963084434
