,mse,rmse
linear_regression,"[3.9065512316622026, 3.944275599516236, 4.071702177488789, 3.8855206297218303, 3.9074716306698147]","[1.9764997423886002, 1.9860200400590715, 2.0178459251114265, 1.971172399797093, 1.976732564276163]"
ridge_cv,"[3.912038425678533, 3.9546404563176445, 4.071033485293983, 3.8898870858122643, 3.9122821502934864]","[1.9778873642547325, 1.9886277822452458, 2.017680223745572, 1.9722796672409986, 1.9779489756547024]"
elastic_cv,"[3.999091349299445, 4.048100618693606, 4.180475426385222, 4.005729765996997, 4.012523093278097]","[1.9997728244226756, 2.0119892193283757, 2.0446210960432794, 2.00143192889416, 2.003128326712519]"
orthogonal_mp,"[5.6056540736554235, 5.594338495269395, 5.789356879144798, 5.730473629963719, 5.715021369027462]","[2.3676262529494436, 2.3652353995468176, 2.406108243438935, 2.393840769550832, 2.39061108694565]"
bayesian_ridge,"[3.9121175958023695, 3.955534709701282, 4.070827783928659, 3.890034435630552, 3.9123792992855955]","[1.9779073779634802, 1.9888526113569305, 2.0176292483825318, 1.9723170220911628, 1.9779735335149446]"
poisson,"[5.74222295112865, 5.748445016248129, 5.930400086604135, 5.8572591121541056, 5.825113253562829]","[2.3962935861719137, 2.397591503206526, 2.4352412789299, 2.4201774960019162, 2.41352713959525]"
gamma,"[6.784816423361213, 6.834213189808174, 7.0593532255256015, 6.966125187390483, 6.883920593193922]","[2.604768017187176, 2.6142328109424713, 2.6569443399374406, 2.6393418095029832, 2.6237226593513885]"
ard,"[3.936389800341834, 3.9592702437595073, 4.07434411127602, 3.916290211777476, 3.932922891637592]","[1.9840337195576676, 1.989791507610661, 2.0185004610542006, 1.9789619025583782, 1.983159825036195]"
sgd,"[4.087517321920623, 4.134219580689805, 4.3161695156165605, 4.102427605759105, 4.107331959948095]","[2.02176094578974, 2.033278038215582, 2.0775392933989383, 2.0254450389381353, 2.0266553628942674]"
random_forest,"[3.9711407541220725, 4.008653625588108, 4.163973570717161, 3.927010124825019, 4.10199377497283]","[1.9927721279970956, 2.00216223757919, 2.040581674600936, 1.9816685204203601, 2.0253379409305574]"
extra_trees,"[4.226327657637418, 4.292720357878561, 4.467797565997792, 4.190190078050075, 4.368489952830604]","[2.055803409287332, 2.0718881142278316, 2.113716529243643, 2.046995378121327, 2.090093288068885]"
hist_gbr_iter100k,"[3.623834490323545, 3.7190637502774564, 3.828167528852787, 3.674889708732746, 3.6659023856338897]","[1.903637174023334, 1.9284874254911428, 1.9565703485570833, 1.9170001848546459, 1.9146546387361585]"
