Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,8.695706534049217
DEH1_2022,B37/H95,8.87033898244124
DEH1_2022,B73/MO17,9.401859166301778
DEH1_2022,B73/PHN82,9.54739939522718
DEH1_2022,B73/TX779,8.892808513769944
DEH1_2022,B97/LH244,9.309803222524003
DEH1_2022,BGEM-0039-N/LH244,8.92794000944323
DEH1_2022,BGEM-0063-N/LH244,8.940877267185945
DEH1_2022,BGEM-0089-N/LH244,9.241416913942645
DEH1_2022,BGEM-0124-N/LH244,8.993256466101592
DEH1_2022,BGEM-0129-N/LH244,9.440362751064228
DEH1_2022,CG119/CG108,8.43904155168067
DEH1_2022,CG44/CGR01,8.80538160169537
DEH1_2022,DK3IIH6/LH244,9.24165855733856
DEH1_2022,DK78010/LH244,9.285270525901618
DEH1_2022,GEMN-0096/LH244,9.285466188693727
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,9.296699772643393
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,9.379931113964902
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,9.503628400091804
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,9.372367514727776
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,9.47751634082397
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,9.300098741857656
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,9.236546697809418
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,9.293208075635153
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,9.321974583026122
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,9.408224019716515
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,9.189981169303497
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,9.37640795756062
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,9.358033411822397
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,9.346697581472595
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,9.32088519764144
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,9.405240275467834
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,9.319983863916267
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,9.38003422831417
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,9.321440364424813
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,9.28579363784651
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,9.330762313722799
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,9.179115453271358
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,9.391287904114163
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,9.316758020419684
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,9.183117983101127
DEH1_2022,GEMN-0096_PHK76_0001/LH244,8.760329233316414
DEH1_2022,GEMN-0096_PHK76_0002/LH244,8.801382359671578
DEH1_2022,GEMN-0096_PHK76_0003/LH244,8.83847156068744
DEH1_2022,GEMN-0096_PHK76_0004/LH244,8.827869610950941
DEH1_2022,GEMN-0096_PHK76_0006/LH244,8.81944409628709
DEH1_2022,GEMN-0096_PHK76_0007/LH244,8.76394042538698
DEH1_2022,GEMN-0096_PHK76_0008/LH244,8.794323363523032
DEH1_2022,GEMN-0096_PHK76_0010/LH244,8.787529423717766
DEH1_2022,GEMN-0096_PHK76_0013/LH244,8.77239091836479
DEH1_2022,GEMN-0096_PHK76_0015/LH244,8.763813500622392
DEH1_2022,GEMN-0096_PHK76_0016/LH244,8.77500785810461
DEH1_2022,GEMN-0096_PHN46_0001/LH244,9.1865840089434
DEH1_2022,GEMN-0096_PHN46_0003/LH244,9.215995415267345
DEH1_2022,GEMN-0096_PHN46_0004/LH244,9.219341537444938
DEH1_2022,GEMN-0096_PHN46_0005/LH244,9.334865470192147
DEH1_2022,GEMN-0096_PHN46_0007/LH244,9.34752457297191
DEH1_2022,GEMN-0096_PHN46_0008/LH244,9.263087709978471
DEH1_2022,GEMN-0096_PHN46_0012/LH244,9.298870528924697
DEH1_2022,GEMN-0096_PHN46_0013/LH244,9.123717531168733
DEH1_2022,GEMN-0096_PHN46_0014/LH244,9.26401793752891
DEH1_2022,GEMN-0096_PHN46_0018/LH244,9.327376239294225
DEH1_2022,GEMN-0096_PHN46_0020/LH244,9.296044009444339
DEH1_2022,GEMN-0096_PHN46_0023/LH244,9.427980614406263
DEH1_2022,GEMN-0096_PHP02_0001/LH244,9.277502460986609
DEH1_2022,GEMN-0096_PHP02_0002/LH244,9.306540094211876
DEH1_2022,GEMN-0096_PHP02_0003/LH244,9.273155146667767
DEH1_2022,GEMN-0096_PHP02_0004/LH244,9.199417243634139
DEH1_2022,GEMN-0096_PHP02_0005/LH244,9.010575862596845
DEH1_2022,GEMN-0096_PHP02_0006/LH244,9.117588247629897
DEH1_2022,GEMN-0096_PHP02_0007/LH244,9.077086709252603
DEH1_2022,GEMN-0096_PHP02_0009/LH244,9.289285798607324
DEH1_2022,GEMN-0096_PHP02_0011/LH244,9.349520450514257
DEH1_2022,GEMN-0096_PHP02_0012/LH244,9.342286088121933
DEH1_2022,GEMN-0096_PHP02_0015/LH244,9.43696861256257
DEH1_2022,GEMN-0096_PHP02_0016/LH244,9.36166967788784
DEH1_2022,GEMN-0096_PHP02_0025/LH244,9.206461129398138
DEH1_2022,GEMN-0096_PHP02_0030/LH244,9.292890720483992
DEH1_2022,GEMN-0097/LH244,9.116613755677884
DEH1_2022,GEMN-0097_LH212HT_0002/LH244,9.290454774590708
DEH1_2022,GEMN-0097_LH212HT_0004/LH244,9.316271492876774
DEH1_2022,GEMN-0097_LH212HT_0018/LH244,9.163106298567401
DEH1_2022,GEMN-0097_LH212HT_0019/LH244,9.037629641218262
DEH1_2022,GEMN-0097_LH212HT_0020/LH244,9.110774069406991
DEH1_2022,GEMN-0097_LH212HT_0023/LH244,9.39919726058771
DEH1_2022,GEMN-0097_LH212HT_0026/LH244,9.364369449396523
DEH1_2022,GEMN-0097_LH212HT_0032/LH244,9.319495833348466
DEH1_2022,GEMN-0097_LH212HT_0034/LH244,9.248179845333944
DEH1_2022,GEMN-0097_LH212HT_0039/LH244,9.323692736528976
DEH1_2022,GEMN-0097_LH212HT_0047/LH244,9.073878467358103
DEH1_2022,GEMN-0097_LH212HT_0051/LH244,9.31920140435144
DEH1_2022,GEMN-0097_LH212HT_0054/LH244,9.268746949594135
DEH1_2022,GEMN-0097_LH212HT_0058/LH244,9.16519322468947
DEH1_2022,GEMN-0097_LH212HT_0061/LH244,9.078128810597574
DEH1_2022,GEMN-0097_LH212HT_0062/LH244,9.019541637910432
DEH1_2022,GEMN-0097_LH212HT_0069/LH244,9.04317290844864
DEH1_2022,GEMN-0097_LH212HT_0074/LH244,9.096599001252526
DEH1_2022,GEMN-0097_LH212HT_0078/LH244,8.996859968407588
DEH1_2022,GEMN-0097_LH212HT_0085/LH244,9.26615385672352
DEH1_2022,GEMN-0097_LH212HT_0090/LH244,9.141719509534887
DEH1_2022,GEMN-0097_PHJ89_0001/LH244,9.326074447221329
DEH1_2022,GEMN-0097_PHJ89_0002/LH244,9.36416574593968
DEH1_2022,GEMN-0097_PHJ89_0003/LH244,9.171182031418313
DEH1_2022,GEMN-0097_PHJ89_0005/LH244,9.274466185765023
DEH1_2022,GEMN-0097_PHJ89_0006/LH244,9.384394961952706
DEH1_2022,GEMN-0097_PHJ89_0007/LH244,9.276731415039235
DEH1_2022,GEMN-0097_PHJ89_0008/LH244,9.35605055442641
DEH1_2022,GEMN-0097_PHJ89_0010/LH244,9.447023409149729
DEH1_2022,GEMN-0097_PHJ89_0011/LH244,8.950887901830633
DEH1_2022,GEMN-0097_PHJ89_0012/LH244,9.079639350223193
DEH1_2022,GEMN-0097_PHJ89_0013/LH244,9.258882135766031
DEH1_2022,GEMN-0097_PHJ89_0016/LH244,9.273489583035488
DEH1_2022,GEMN-0097_PHJ89_0020/LH244,9.381039723262461
DEH1_2022,GEMN-0097_PHJ89_0023/LH244,9.21144777110218
DEH1_2022,GEMN-0097_PHJ89_0025/LH244,9.41055318372486
DEH1_2022,GEMN-0097_PHJ89_0026/LH244,9.116155780930061
DEH1_2022,GEMN-0097_PHJ89_0027/LH244,9.262684374257539
DEH1_2022,GEMN-0097_PHJ89_0028/LH244,9.31856145697901
DEH1_2022,GEMN-0097_PHJ89_0029/LH244,9.342169739427945
DEH1_2022,GEMN-0097_PHJ89_0033/LH244,9.240535042139657
DEH1_2022,GEMN-0097_PHJ89_0036/LH244,9.477910392830575
DEH1_2022,GEMN-0097_PHJ89_0039/LH244,9.33285028378895
DEH1_2022,GEMN-0097_PHK76_0002/LH244,9.37858418821826
DEH1_2022,GEMN-0097_PHK76_0003/LH244,9.231344493603638
DEH1_2022,GEMN-0097_PHK76_0007/LH244,9.08909421880608
DEH1_2022,GEMN-0097_PHK76_0009/LH244,9.344754139188135
DEH1_2022,GEMN-0097_PHK76_0010/LH244,9.050545717831064
DEH1_2022,GEMN-0097_PHK76_0011/LH244,9.018084443945616
DEH1_2022,GEMN-0097_PHK76_0012/LH244,9.074220569141616
DEH1_2022,GEMN-0097_PHK76_0014/LH244,9.075032495982203
DEH1_2022,GEMN-0097_PHK76_0015/LH244,9.04950426803949
DEH1_2022,GEMN-0097_PHK76_0016/LH244,9.362646628948749
DEH1_2022,GEMN-0097_PHK76_0017/LH244,9.35926129437258
DEH1_2022,GEMN-0097_PHK76_0018/LH244,9.048523600138711
DEH1_2022,GEMN-0097_PHK76_0021/LH244,9.050313426581553
DEH1_2022,GEMN-0097_PHK76_0023/LH244,9.161214292182745
DEH1_2022,GEMN-0097_PHK76_0029/LH244,9.35926129437258
DEH1_2022,GEMN-0097_PHK76_0032/LH244,9.089528048484729
DEH1_2022,GEMN-0097_PHK76_0036/LH244,9.405117662960308
DEH1_2022,GEMN-0097_PHK76_0037/LH244,9.066802827143047
DEH1_2022,GEMN-0097_PHK76_0038/LH244,8.96419858576115
DEH1_2022,GEMN-0097_PHK76_0039/LH244,8.96001484325825
DEH1_2022,GEMN-0097_PHK76_0041/LH244,8.991855180808681
DEH1_2022,GEMN-0097_PHK76_0048/LH244,9.427929092622847
DEH1_2022,GEMN-0097_PHK76_0053/LH244,9.000146479130162
DEH1_2022,GEMN-0097_PHK76_0055/LH244,9.171923150307101
DEH1_2022,GEMN-0097_PHK76_0060/LH244,8.993307972951621
DEH1_2022,GEMN-0097_PHN46_0001/LH244,9.393993708219678
DEH1_2022,GEMN-0097_PHN46_0002/LH244,9.366209569579462
DEH1_2022,GEMN-0097_PHN46_0003/LH244,9.273553304207006
DEH1_2022,GEMN-0097_PHN46_0004/LH244,9.29518843151259
DEH1_2022,GEMN-0097_PHN46_0005/LH244,9.424737336587729
DEH1_2022,GEMN-0097_PHN46_0006/LH244,9.309465009004045
DEH1_2022,GEMN-0097_PHN46_0007/LH244,9.445925504765466
DEH1_2022,GEMN-0097_PHN46_0008/LH244,9.484753938650943
DEH1_2022,GEMN-0097_PHN46_0009/LH244,9.31814336173872
DEH1_2022,GEMN-0097_PHN46_0010/LH244,9.35926129437258
DEH1_2022,GEMN-0097_PHN46_0011/LH244,9.389575808071372
DEH1_2022,GEMN-0097_PHN46_0014/LH244,9.25603473075789
DEH1_2022,GEMN-0097_PHN46_0016/LH244,9.331007377453803
DEH1_2022,GEMN-0097_PHN46_0018/LH244,9.34798290739673
DEH1_2022,GEMN-0097_PHP02_0001/LH244,9.352348317741992
DEH1_2022,GEMN-0097_PHP02_0002/LH244,9.307311842026255
DEH1_2022,GEMN-0097_PHP02_0003/LH244,9.147454483173242
DEH1_2022,GEMN-0097_PHP02_0005/LH244,9.0202804288195
DEH1_2022,GEMN-0097_PHP02_0006/LH244,8.970308715023723
DEH1_2022,GEMN-0097_PHP02_0007/LH244,9.426832867683284
DEH1_2022,GEMN-0098/LH244,8.980509404022591
DEH1_2022,GEMN-0104/LH244,9.386253375933272
DEH1_2022,GEMN-0124/LH244,9.3013179515628
DEH1_2022,GEMN-0135/LH244,9.380718585641466
DEH1_2022,GEMN-0144/LH244,9.258519358919946
DEH1_2022,GEMN-0157/LH244,9.239726129600257
DEH1_2022,GEMN-0177/LH244,9.01470315329511
DEH1_2022,GEMN-0178/LH244,9.153683675035099
DEH1_2022,GEMN-0187/LH244,9.387772607636098
DEH1_2022,GEMN-0192/LH244,9.355795218269988
DEH1_2022,GEMN-0192_LH212HT_0001/LH244,9.0221022298639
DEH1_2022,GEMN-0192_LH212HT_0002/LH244,9.114567885765991
DEH1_2022,GEMN-0192_LH212HT_0006/LH244,9.339260747245255
DEH1_2022,GEMN-0192_LH212HT_0007/LH244,9.271659268155236
DEH1_2022,GEMN-0192_LH212HT_0008/LH244,9.037963627160094
DEH1_2022,GEMN-0192_LH212HT_0009/LH244,9.038260915072371
DEH1_2022,GEMN-0192_LH212HT_0010/LH244,9.14432420233518
DEH1_2022,GEMN-0192_LH212HT_0011/LH244,9.394734018651661
DEH1_2022,GEMN-0192_LH212HT_0012/LH244,9.382691774238474
DEH1_2022,GEMN-0192_LH212HT_0013/LH244,9.338710070251008
DEH1_2022,GEMN-0192_LH212HT_0014/LH244,9.386151249126046
DEH1_2022,GEMN-0192_LH212HT_0015/LH244,9.365634637869482
DEH1_2022,GEMN-0192_LH212HT_0018/LH244,9.296346164697358
DEH1_2022,GEMN-0192_LH212HT_0021/LH244,9.317963346052172
DEH1_2022,GEMN-0192_LH212HT_0023/LH244,9.252687098507673
DEH1_2022,GEMN-0192_PHJ89_0001/LH244,9.315000825339
DEH1_2022,GEMN-0192_PHJ89_0002/LH244,9.269597699999627
DEH1_2022,GEMN-0192_PHK76_0002/LH244,9.020116463110664
DEH1_2022,GEMN-0192_PHK76_0004/LH244,9.242920869687849
DEH1_2022,GEMN-0192_PHK76_0005/LH244,8.975892929896055
DEH1_2022,GEMN-0192_PHK76_0006/LH244,9.029302806288728
DEH1_2022,GEMN-0192_PHK76_0007/LH244,9.12314220525437
DEH1_2022,GEMN-0192_PHK76_0008/LH244,9.004077559204847
DEH1_2022,GEMN-0192_PHK76_0009/LH244,8.966426311720769
DEH1_2022,GEMN-0192_PHK76_0010/LH244,9.205292877650468
DEH1_2022,GEMN-0192_PHK76_0011/LH244,9.107931261942362
DEH1_2022,GEMN-0192_PHK76_0012/LH244,9.166047171147138
DEH1_2022,GEMN-0192_PHK76_0013/LH244,9.427859907295282
DEH1_2022,GEMN-0192_PHK76_0014/LH244,9.089894756476623
DEH1_2022,GEMN-0192_PHK76_0015/LH244,8.941515133217765
DEH1_2022,GEMN-0192_PHK76_0016/LH244,9.057893729476003
DEH1_2022,GEMN-0192_PHK76_0017/LH244,9.010927110496603
DEH1_2022,GEMN-0192_PHK76_0018/LH244,9.142139092188375
DEH1_2022,GEMN-0192_PHK76_0019/LH244,8.920090118958068
DEH1_2022,GEMN-0192_PHK76_0021/LH244,9.060440082546421
DEH1_2022,GEMN-0192_PHK76_0025/LH244,9.135171021352257
DEH1_2022,GEMN-0192_PHK76_0027/LH244,9.066833337551614
DEH1_2022,GEMN-0192_PHK76_0028/LH244,8.973147211111174
DEH1_2022,GEMN-0192_PHK76_0030/LH244,8.927845150207114
DEH1_2022,GEMN-0192_PHK76_0032/LH244,9.19373648666167
DEH1_2022,GEMN-0192_PHK76_0033/LH244,9.040082858965926
DEH1_2022,GEMN-0192_PHK76_0035/LH244,9.293494275193911
DEH1_2022,GEMN-0192_PHK76_0036/LH244,8.906540024793891
DEH1_2022,GEMN-0192_PHK76_0037/LH244,8.959538223344754
DEH1_2022,GEMN-0192_PHK76_0041/LH244,9.317766901700383
DEH1_2022,GEMN-0192_PHK76_0044/LH244,8.943390689076283
DEH1_2022,GEMN-0192_PHK76_0045/LH244,9.271608898075733
DEH1_2022,GEMN-0192_PHN46_0001/LH244,9.378376961297207
DEH1_2022,GEMN-0192_PHN46_0002/LH244,9.140044764667593
DEH1_2022,GEMN-0192_PHN46_0003/LH244,9.291457243380577
DEH1_2022,GEMN-0192_PHN46_0004/LH244,9.26426572586212
DEH1_2022,GEMN-0192_PHN46_0005/LH244,9.264962734497502
DEH1_2022,GEMN-0192_PHN46_0006/LH244,9.26136605670964
DEH1_2022,GEMN-0192_PHN46_0007/LH244,9.28128211134611
DEH1_2022,GEMN-0192_PHN46_0008/LH244,9.37349181761773
DEH1_2022,GEMN-0192_PHN46_0009/LH244,9.379071550849961
DEH1_2022,GEMN-0192_PHN46_0010/LH244,9.188622987412542
DEH1_2022,GEMN-0192_PHN46_0011/LH244,9.11706086839908
DEH1_2022,GEMN-0192_PHN46_0012/LH244,9.281395367340462
DEH1_2022,GEMN-0192_PHN46_0014/LH244,9.215827492616699
DEH1_2022,GEMN-0192_PHN46_0015/LH244,9.21478727956783
DEH1_2022,GEMN-0192_PHN46_0017/LH244,9.215093929197673
DEH1_2022,GEMN-0192_PHN46_0018/LH244,9.163230428216766
DEH1_2022,GEMN-0192_PHN46_0019/LH244,9.41014469057985
DEH1_2022,GEMN-0192_PHN46_0020/LH244,9.316456671252048
DEH1_2022,GEMN-0192_PHN46_0021/LH244,9.34163118527086
DEH1_2022,GEMN-0192_PHN46_0025/LH244,9.284983321187605
DEH1_2022,GEMN-0192_PHP02_0001/LH244,9.283500435083738
DEH1_2022,GEMN-0192_PHP02_0003/LH244,9.190001006697182
DEH1_2022,GEMN-0207/LH244,9.474212240595634
DEH1_2022,GEMN-0225/LH244,9.246735292303688
DEH1_2022,GEMN-0225_LH212HT_0002/LH244,9.129208811338211
DEH1_2022,GEMN-0225_LH212HT_0003/LH244,9.156431498837604
DEH1_2022,GEMN-0225_LH212HT_0005/LH244,9.461839237812066
DEH1_2022,GEMN-0225_LH212HT_0006/LH244,9.0796682046357
DEH1_2022,GEMN-0225_LH212HT_0008/LH244,9.391846165731145
DEH1_2022,GEMN-0225_LH212HT_0009/LH244,9.32396426684971
DEH1_2022,GEMN-0225_LH212HT_0015/LH244,9.420380488487531
DEH1_2022,GEMN-0225_LH212HT_0017/LH244,9.174738270422814
DEH1_2022,GEMN-0225_LH212HT_0021/LH244,9.130073917575128
DEH1_2022,GEMN-0225_LH212HT_0023/LH244,9.388339399571283
DEH1_2022,GEMN-0225_LH212HT_0024/LH244,9.044850874746897
DEH1_2022,GEMN-0225_LH212HT_0025/LH244,9.023051278444905
DEH1_2022,GEMN-0225_LH212HT_0029/LH244,9.110065101551266
DEH1_2022,GEMN-0225_LH212HT_0036/LH244,9.1273660789022
DEH1_2022,GEMN-0225_LH212HT_0038/LH244,9.243464173574438
DEH1_2022,GEMN-0225_LH212HT_0040/LH244,9.257791723789822
DEH1_2022,GEMN-0225_LH212HT_0043/LH244,9.151372899714259
DEH1_2022,GEMN-0225_PHJ89_0001/LH244,9.140447144749928
DEH1_2022,GEMN-0225_PHJ89_0002/LH244,9.269752053868414
DEH1_2022,GEMN-0225_PHJ89_0003/LH244,9.35732998495924
