Env,Hybrid,Yield_Mg_ha
IAH1_2022,B14A/H95,9.704127005380796
IAH1_2022,B14A/MO17,10.077184406872068
IAH1_2022,B14A/OH43,9.792797943998599
IAH1_2022,B37/H95,9.878394381613413
IAH1_2022,B37/MO17,9.960924305642381
IAH1_2022,B37/OH43,9.820325963452333
IAH1_2022,B73/MO17,10.460272357091954
IAH1_2022,B73/PHM49,10.508596064853977
IAH1_2022,B73/PHN82,10.597414875672328
IAH1_2022,B73/TX779,9.842853066968754
IAH1_2022,B97/LH244,10.17940268607183
IAH1_2022,BGEM-0039-N/LH244,9.840560463613079
IAH1_2022,BGEM-0063-N/LH244,9.835935079370143
IAH1_2022,BGEM-0089-N/LH244,9.997541310455539
IAH1_2022,BGEM-0124-N/LH244,9.785005301244889
IAH1_2022,BGEM-0129-N/LH244,10.26339628135654
IAH1_2022,CG119/CG108,9.529448142164624
IAH1_2022,CG44/CGR01,9.800842552961997
IAH1_2022,DK3IIH6/LH244,10.153685003442813
IAH1_2022,DK78010/LH244,10.40253296188412
IAH1_2022,F42/H95,10.131072535092942
IAH1_2022,F42/MO17,10.426151914395327
IAH1_2022,F42/OH43,10.244964728646735
IAH1_2022,GEMN-0096/LH244,10.272472882740853
IAH1_2022,GEMN-0096_LH212HT_0001/LH244,10.264151807548558
IAH1_2022,GEMN-0096_LH212HT_0002/LH244,10.248327634360331
IAH1_2022,GEMN-0096_LH212HT_0003/LH244,10.33713429689565
IAH1_2022,GEMN-0096_LH212HT_0004/LH244,10.266082397538137
IAH1_2022,GEMN-0096_LH212HT_0005/LH244,10.330823178879193
IAH1_2022,GEMN-0096_LH212HT_0006/LH244,10.241009826393768
IAH1_2022,GEMN-0096_LH212HT_0008/LH244,10.120317329616254
IAH1_2022,GEMN-0096_LH212HT_0009/LH244,10.232640240730841
IAH1_2022,GEMN-0096_LH212HT_0010/LH244,10.082610174867284
IAH1_2022,GEMN-0096_LH212HT_0011/LH244,10.279901507915353
IAH1_2022,GEMN-0096_LH212HT_0012/LH244,10.283985659301754
IAH1_2022,GEMN-0096_LH212HT_0013/LH244,10.310420808889393
IAH1_2022,GEMN-0096_LH212HT_0017/LH244,10.197374180472043
IAH1_2022,GEMN-0096_LH212HT_0020/LH244,10.248094520395881
IAH1_2022,GEMN-0096_LH212HT_0021/LH244,10.293391734917522
IAH1_2022,GEMN-0096_PHJ89_0001/LH244,10.278868439677971
IAH1_2022,GEMN-0096_PHJ89_0002/LH244,10.301906394078573
IAH1_2022,GEMN-0096_PHJ89_0006/LH244,10.296220577853262
IAH1_2022,GEMN-0096_PHJ89_0007/LH244,10.268641880099887
IAH1_2022,GEMN-0096_PHJ89_0009/LH244,10.326951159777128
IAH1_2022,GEMN-0096_PHJ89_0010/LH244,10.24733576129715
IAH1_2022,GEMN-0096_PHJ89_0011/LH244,10.320276367761824
IAH1_2022,GEMN-0096_PHJ89_0012/LH244,10.221282402640691
IAH1_2022,GEMN-0096_PHJ89_0013/LH244,10.362937224612992
