,mse,rmse
linear_regression,"[5.468322860797483, 5.579461276476211, 5.635286529576415, 5.574937285453673, 5.469246684062019]","[2.3384445387473876, 2.362088329524578, 2.3738758454427256, 2.361130510042525, 2.338642059841997]"
ridge_cv,"[5.468022863480035, 5.579238476316905, 5.635059305622056, 5.575338980478997, 5.4697135303366]","[2.3383803932380283, 2.3620411673628605, 2.3738279856851583, 2.361215572640287, 2.3387418691118094]"
elastic_cv,"[5.491509596302115, 5.603886508815698, 5.665263038430989, 5.618565488862203, 5.521817657644291]","[2.3433970206309716, 2.3672529456768445, 2.3801813036890676, 2.3703513429156877, 2.3498548162906343]"
orthogonal_mp,"[7.097640226783361, 7.098022269909129, 7.359218622402793, 7.2081727247564915, 7.150529237306542]","[2.6641396785422797, 2.664211378608899, 2.7127879796259036, 2.6848040384274774, 2.674047351358338]"
bayesian_ridge,"[5.467710292199789, 5.579026266826797, 5.634849294879391, 5.5759712546191, 5.470461840914855]","[2.338313557288626, 2.361996246150022, 2.3737837506561945, 2.3613494562684068, 2.3389018450791936]"
poisson,"[6.371507141328783, 6.465311233662343, 6.6574053024554445, 6.5544198620217164, 6.495945465258175]","[2.5241844507342925, 2.542697629224195, 2.580194818701767, 2.560160124293345, 2.5487144730742544]"
gamma,"[7.244193040445306, 7.393594707343573, 7.645282664733834, 7.49190836487989, 7.367151355690727]","[2.691503862238601, 2.719116530666454, 2.7650104275994756, 2.737135065151132, 2.7142496855836105]"
ard,"[5.468740110900436, 5.579011944424075, 5.635197937639027, 5.574809856079757, 5.4702391227726554]","[2.3385337523543326, 2.361993214305256, 2.3738571856030064, 2.361103525066141, 2.3388542329039352]"
sgd,"[5.570687028909031, 5.684608229516698, 5.734648787203021, 5.676911071287391, 5.627092622446128]","[2.3602302914989104, 2.384241646628273, 2.3947126732038275, 2.3826269265848965, 2.372149367650808]"
random_forest,"[4.0229928428452055, 4.071142363634668, 4.208953343478967, 3.9692148983486066, 4.1391579032548185]","[2.005739973886248, 2.0177072046346733, 2.0515733824260267, 1.9922888591639032, 2.0344920504280224]"
extra_trees,"[4.225581778463359, 4.2937262989158285, 4.464652595476825, 4.210629535317664, 4.410383189626077]","[2.0556219930870943, 2.0721308595056995, 2.1129724549735203, 2.0519818555040064, 2.100091233643452]"
hist_gbr_iter100k,"[3.650500960142732, 3.7362911964908787, 3.8060600510333114, 3.660640422736714, 3.6868546829194067]","[1.910628420217477, 1.932948834421356, 1.9509126200405058, 1.9132800168131987, 1.9201184033593883]"
