Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,10.629523039745777
DEH1_2022,B37/H95,10.68768615415375
DEH1_2022,B73/MO17,11.229478138329208
DEH1_2022,B73/PHN82,11.603896019842823
DEH1_2022,B73/TX779,10.805991313065583
DEH1_2022,B97/LH244,10.990898715637172
DEH1_2022,BGEM-0039-N/LH244,10.612959304648957
DEH1_2022,BGEM-0063-N/LH244,10.519521296977182
DEH1_2022,BGEM-0089-N/LH244,10.67357665468223
DEH1_2022,BGEM-0124-N/LH244,10.451469451734896
DEH1_2022,BGEM-0129-N/LH244,11.194723752252132
DEH1_2022,CG119/CG108,10.564743885267657
DEH1_2022,CG44/CGR01,10.772267352589273
DEH1_2022,DK3IIH6/LH244,10.859392718827602
DEH1_2022,DK78010/LH244,11.459762703038491
DEH1_2022,GEMN-0096/LH244,11.00540165247139
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,11.124376435302091
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,11.118109297962414
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,11.129450646919837
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,11.113630475347998
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,11.161248248890873
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,11.042977052552608
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,10.986205603634746
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,11.0426693420401
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,11.069885610438385
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,11.154972641803413
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,11.064277552550413
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,11.066175472177568
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,11.137880184854955
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,11.006373110982969
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,11.037251119390623
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,10.989503861231185
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,11.010808813145973
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,11.073082736233872
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,11.02105309364658
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,10.93951235201611
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,11.004626373655588
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,10.928010586444648
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,11.060680607522698
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,10.958089295651236
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,11.037466400188622
DEH1_2022,GEMN-0096_PHK76_0001/LH244,10.78695048005609
DEH1_2022,GEMN-0096_PHK76_0002/LH244,10.801234057661148
DEH1_2022,GEMN-0096_PHK76_0003/LH244,10.804717041078883
DEH1_2022,GEMN-0096_PHK76_0004/LH244,10.884579327572453
DEH1_2022,GEMN-0096_PHK76_0006/LH244,10.802573514982784
DEH1_2022,GEMN-0096_PHK76_0007/LH244,10.812639511732861
DEH1_2022,GEMN-0096_PHK76_0008/LH244,10.84434071522039
DEH1_2022,GEMN-0096_PHK76_0010/LH244,10.781108247237738
DEH1_2022,GEMN-0096_PHK76_0013/LH244,10.773259572904353
DEH1_2022,GEMN-0096_PHK76_0015/LH244,10.774491202720485
DEH1_2022,GEMN-0096_PHK76_0016/LH244,10.771742111176268
DEH1_2022,GEMN-0096_PHN46_0001/LH244,11.017504651032313
