Env,Hybrid,Yield_Mg_ha
NCH1_2022,B14A/H95,9.345758052135851
NCH1_2022,B14A/MO17,8.48027663885487
NCH1_2022,B14A/OH43,9.061753797764707
NCH1_2022,B37/H95,8.998124557032456
NCH1_2022,B37/MO17,10.306671523338347
NCH1_2022,B37/OH43,8.233326140948309
NCH1_2022,B73/MO17,11.156706558458938
NCH1_2022,B73/PHK76,7.711788864411477
NCH1_2022,B73/PHM49,8.689914936592091
NCH1_2022,B73/PHN82,8.744387350502734
NCH1_2022,B73/PHZ51,7.938798490226397
NCH1_2022,B73/TX779,6.475068625313571
NCH1_2022,B97/LH244,7.761368958139489
NCH1_2022,BGEM-0039-N/LH244,8.796474655436587
NCH1_2022,BGEM-0063-N/LH244,8.800562347539232
NCH1_2022,BGEM-0089-N/LH244,8.506305498503812
NCH1_2022,BGEM-0124-N/LH244,8.309483169300684
NCH1_2022,BGEM-0129-N/LH244,10.144588723193486
NCH1_2022,CG119/CG108,5.230365457802729
NCH1_2022,CG44/CGR01,7.039335315784558
NCH1_2022,DK3IIH6/LH244,7.3768606237022984
NCH1_2022,DK78010/LH244,10.103750738462226
NCH1_2022,F42/H95,8.932131315795525
NCH1_2022,F42/MO17,11.153950043350358
NCH1_2022,F42/OH43,9.244130757637613
NCH1_2022,GEMN-0096/LH244,9.132679332032865
NCH1_2022,GEMN-0096_LH212HT_0001/LH244,8.709834681933746
NCH1_2022,GEMN-0096_LH212HT_0002/LH244,8.210125438094522
NCH1_2022,GEMN-0096_LH212HT_0003/LH244,8.554387106321768
NCH1_2022,GEMN-0096_LH212HT_0004/LH244,8.353593333526801
NCH1_2022,GEMN-0096_LH212HT_0005/LH244,8.463688374244159
NCH1_2022,GEMN-0096_LH212HT_0006/LH244,8.246479422331205
NCH1_2022,GEMN-0096_LH212HT_0008/LH244,8.424268620752644
NCH1_2022,GEMN-0096_LH212HT_0009/LH244,8.311798155520355
NCH1_2022,GEMN-0096_LH212HT_0010/LH244,8.072305167676094
NCH1_2022,GEMN-0096_LH212HT_0011/LH244,8.37516074603541
NCH1_2022,GEMN-0096_LH212HT_0012/LH244,8.80274069336557
NCH1_2022,GEMN-0096_LH212HT_0013/LH244,8.590510279038265
NCH1_2022,GEMN-0096_LH212HT_0014/LH244,8.048441116692288
NCH1_2022,GEMN-0096_LH212HT_0017/LH244,8.559740433056824
NCH1_2022,GEMN-0096_LH212HT_0020/LH244,8.414725345266115
NCH1_2022,GEMN-0096_LH212HT_0021/LH244,8.580893173487674
NCH1_2022,GEMN-0096_LH212HT_0027/LH244,8.753814827141063
NCH1_2022,GEMN-0096_PHJ89_0001/LH244,9.046547924415224
NCH1_2022,GEMN-0096_PHJ89_0002/LH244,8.731743513468055
NCH1_2022,GEMN-0096_PHJ89_0006/LH244,9.032328422862745
NCH1_2022,GEMN-0096_PHJ89_0007/LH244,10.20611759000659
NCH1_2022,GEMN-0096_PHJ89_0009/LH244,9.203107147056967
NCH1_2022,GEMN-0096_PHJ89_0010/LH244,10.091273455151919
NCH1_2022,GEMN-0096_PHJ89_0011/LH244,9.618992784832892
NCH1_2022,GEMN-0096_PHJ89_0012/LH244,9.019500897425338
NCH1_2022,GEMN-0096_PHJ89_0013/LH244,8.899872274324096
NCH1_2022,GEMN-0096_PHJ89_0014/LH244,9.189959576717145
NCH1_2022,GEMN-0096_PHJ89_0016/LH244,10.020969848824926
NCH1_2022,GEMN-0096_PHJ89_0017/LH244,9.2707178250147
NCH1_2022,GEMN-0096_PHK76_0001/LH244,7.624613869183463
NCH1_2022,GEMN-0096_PHK76_0002/LH244,7.810385036170911
NCH1_2022,GEMN-0096_PHK76_0003/LH244,7.681458181451735
NCH1_2022,GEMN-0096_PHK76_0004/LH244,7.743959805633614
NCH1_2022,GEMN-0096_PHK76_0006/LH244,7.989327201610163
NCH1_2022,GEMN-0096_PHK76_0007/LH244,8.191436872889037
NCH1_2022,GEMN-0096_PHK76_0008/LH244,7.828979482395932
NCH1_2022,GEMN-0096_PHK76_0009/LH244,7.447577888630565
NCH1_2022,GEMN-0096_PHK76_0010/LH244,7.712505142897842
NCH1_2022,GEMN-0096_PHK76_0013/LH244,7.536787185320752
NCH1_2022,GEMN-0096_PHK76_0015/LH244,7.594821409175824
NCH1_2022,GEMN-0096_PHK76_0016/LH244,7.6655019096041555
NCH1_2022,GEMN-0096_PHN46_0001/LH244,9.351903508048546
NCH1_2022,GEMN-0096_PHN46_0002/LH244,9.17708613634858
NCH1_2022,GEMN-0096_PHN46_0003/LH244,8.76234103993521
NCH1_2022,GEMN-0096_PHN46_0004/LH244,8.994680291893841
NCH1_2022,GEMN-0096_PHN46_0005/LH244,8.387485213688441
NCH1_2022,GEMN-0096_PHN46_0007/LH244,8.737623399470783
NCH1_2022,GEMN-0096_PHN46_0008/LH244,8.624441077401494
NCH1_2022,GEMN-0096_PHN46_0009/LH244,8.750882760335092
NCH1_2022,GEMN-0096_PHN46_0010/LH244,9.01318426015869
NCH1_2022,GEMN-0096_PHN46_0011/LH244,9.030899304601144
NCH1_2022,GEMN-0096_PHN46_0012/LH244,8.266246674718852
NCH1_2022,GEMN-0096_PHN46_0013/LH244,8.788359732711825
NCH1_2022,GEMN-0096_PHN46_0014/LH244,9.256390320853233
NCH1_2022,GEMN-0096_PHN46_0018/LH244,10.11279489036638
