Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,11.167188503428084
DEH1_2022,B37/H95,11.33485803855982
DEH1_2022,B73/MO17,12.755846650680473
DEH1_2022,B73/PHN82,11.494777885993196
DEH1_2022,B73/TX779,10.044180167556702
DEH1_2022,B97/LH244,12.59117950060935
DEH1_2022,BGEM-0039-N/LH244,10.351125318891148
DEH1_2022,BGEM-0063-N/LH244,10.113122118059932
DEH1_2022,BGEM-0089-N/LH244,11.007992640367712
DEH1_2022,BGEM-0124-N/LH244,10.274833135485073
DEH1_2022,BGEM-0129-N/LH244,12.672058928095884
DEH1_2022,CG119/CG108,8.464686204329052
DEH1_2022,CG44/CGR01,9.775781003330522
DEH1_2022,DK3IIH6/LH244,11.345391520098866
DEH1_2022,DK78010/LH244,11.98394945012123
DEH1_2022,GEMN-0096/LH244,11.831211559608922
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,12.69283953882973
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,12.511066828234929
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,13.021681440734596
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,13.071130875680709
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,12.684567278652954
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,12.36148426190695
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,11.954333202208943
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,12.416453297152467
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,12.175130511772792
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,12.905958388682917
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,12.451768774883755
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,12.695098200166159
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,13.285374898599871
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,12.206189254152383
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,11.973187531403832
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,12.108887662056349
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,11.93175997507592
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,12.05875551579122
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,12.395912330767226
