Env,Hybrid,Yield_Mg_ha
IAH1_2022,B14A/H95,12.01226116505604
IAH1_2022,B14A/MO17,10.946127937522826
IAH1_2022,B14A/OH43,10.63274757480807
IAH1_2022,B37/H95,9.733051417995869
IAH1_2022,B37/MO17,10.581930598609254
IAH1_2022,B37/OH43,11.08107174823902
IAH1_2022,B73/MO17,13.151082100387518
IAH1_2022,B73/PHM49,11.97343749934636
IAH1_2022,B73/PHN82,11.074290376045397
IAH1_2022,B73/TX779,10.533211204339617
IAH1_2022,B97/LH244,12.14694199981785
IAH1_2022,BGEM-0039-N/LH244,10.2906082529164
IAH1_2022,BGEM-0063-N/LH244,10.060296527134758
IAH1_2022,BGEM-0089-N/LH244,9.927135241417774
IAH1_2022,BGEM-0124-N/LH244,10.441636578678986
IAH1_2022,BGEM-0129-N/LH244,11.607388555083455
IAH1_2022,CG119/CG108,7.073465371281078
IAH1_2022,CG44/CGR01,8.98563100360778
IAH1_2022,DK3IIH6/LH244,11.022946000982463
IAH1_2022,DK78010/LH244,11.997900727299038
IAH1_2022,F42/H95,10.456217115419095
IAH1_2022,F42/MO17,12.860705156225436
IAH1_2022,F42/OH43,10.732303841934453
IAH1_2022,GEMN-0096/LH244,12.319084268147101
IAH1_2022,GEMN-0096_LH212HT_0001/LH244,12.476152773914237
IAH1_2022,GEMN-0096_LH212HT_0002/LH244,12.68245594726355
IAH1_2022,GEMN-0096_LH212HT_0003/LH244,12.45451572448566
IAH1_2022,GEMN-0096_LH212HT_0004/LH244,12.480979665865766
IAH1_2022,GEMN-0096_LH212HT_0005/LH244,12.548368011216473
IAH1_2022,GEMN-0096_LH212HT_0006/LH244,12.242935935213268
IAH1_2022,GEMN-0096_LH212HT_0008/LH244,12.235502956679264
IAH1_2022,GEMN-0096_LH212HT_0009/LH244,12.049182840115355
IAH1_2022,GEMN-0096_LH212HT_0010/LH244,11.945601910220603
IAH1_2022,GEMN-0096_LH212HT_0011/LH244,12.501254553636542
IAH1_2022,GEMN-0096_LH212HT_0012/LH244,12.797704618891208
IAH1_2022,GEMN-0096_LH212HT_0013/LH244,12.72730610091034
IAH1_2022,GEMN-0096_LH212HT_0017/LH244,12.172539887138674
IAH1_2022,GEMN-0096_LH212HT_0020/LH244,12.334738492577637
IAH1_2022,GEMN-0096_LH212HT_0021/LH244,12.65399723550866
IAH1_2022,GEMN-0096_PHJ89_0001/LH244,12.309630430764779
IAH1_2022,GEMN-0096_PHJ89_0002/LH244,12.409115351876693
IAH1_2022,GEMN-0096_PHJ89_0006/LH244,12.587430506769431
IAH1_2022,GEMN-0096_PHJ89_0007/LH244,12.278167558010779
IAH1_2022,GEMN-0096_PHJ89_0009/LH244,12.235244265828662
IAH1_2022,GEMN-0096_PHJ89_0010/LH244,11.862733844401745
IAH1_2022,GEMN-0096_PHJ89_0011/LH244,12.244621673472592
IAH1_2022,GEMN-0096_PHJ89_0012/LH244,12.263764199488186
IAH1_2022,GEMN-0096_PHJ89_0013/LH244,12.377501976065957
IAH1_2022,GEMN-0096_PHJ89_0014/LH244,12.245061153438394
IAH1_2022,GEMN-0096_PHJ89_0016/LH244,11.670791482801322
