Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,10.282079319628007
DEH1_2022,B37/H95,9.97169652944191
DEH1_2022,B73/MO17,11.311565881566679
DEH1_2022,B73/PHN82,12.090322062233795
DEH1_2022,B73/TX779,10.508090819769226
DEH1_2022,B97/LH244,10.846275957182915
DEH1_2022,BGEM-0039-N/LH244,9.917444526886882
DEH1_2022,BGEM-0063-N/LH244,9.834091688694587
DEH1_2022,BGEM-0089-N/LH244,9.535262691863995
DEH1_2022,BGEM-0124-N/LH244,9.562087017309548
DEH1_2022,BGEM-0129-N/LH244,10.660577325370252
DEH1_2022,CG119/CG108,8.819049021968855
DEH1_2022,CG44/CGR01,9.803114100537323
DEH1_2022,DK3IIH6/LH244,11.159635974130534
DEH1_2022,DK78010/LH244,10.556379300694555
DEH1_2022,GEMN-0096/LH244,10.486222731537705
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,10.99726379181522
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,11.106547106310504
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,11.013747966950062
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,11.004160999834111
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,11.180145586962851
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,10.84081495693882
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,10.89093925440408
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,10.969231164672772
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,10.911034954710114
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,11.119150875362177
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,10.955832629519552
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,10.91323908390892
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,10.890603618828823
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,10.77168375086302
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,10.644470683280783
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,10.797560424110326
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,10.879603259402577
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,10.668657013284612
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,10.51194860838012
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,10.622167155261888
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,10.490245202972408
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,10.660293781199066
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,10.648113999621263
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,10.479987923234683
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,10.76610596122288
DEH1_2022,GEMN-0096_PHK76_0001/LH244,10.305881876358866
DEH1_2022,GEMN-0096_PHK76_0002/LH244,10.428205061993514
DEH1_2022,GEMN-0096_PHK76_0003/LH244,10.344023024795963
DEH1_2022,GEMN-0096_PHK76_0004/LH244,10.399540148625835
DEH1_2022,GEMN-0096_PHK76_0006/LH244,10.428205061993514
DEH1_2022,GEMN-0096_PHK76_0007/LH244,10.156103867189191
DEH1_2022,GEMN-0096_PHK76_0008/LH244,10.330477832668603
DEH1_2022,GEMN-0096_PHK76_0010/LH244,10.305881876358866
DEH1_2022,GEMN-0096_PHK76_0013/LH244,10.068887775234248
DEH1_2022,GEMN-0096_PHK76_0015/LH244,10.1550347665337
DEH1_2022,GEMN-0096_PHK76_0016/LH244,10.305881876358866
DEH1_2022,GEMN-0096_PHN46_0001/LH244,10.862904884669344
DEH1_2022,GEMN-0096_PHN46_0003/LH244,11.223891700419285
DEH1_2022,GEMN-0096_PHN46_0004/LH244,11.222348132734343
DEH1_2022,GEMN-0096_PHN46_0005/LH244,10.86039403482243
DEH1_2022,GEMN-0096_PHN46_0007/LH244,11.068017445976945
DEH1_2022,GEMN-0096_PHN46_0008/LH244,10.979792396915228
DEH1_2022,GEMN-0096_PHN46_0012/LH244,10.370530409361917
DEH1_2022,GEMN-0096_PHN46_0013/LH244,10.237480463645905
DEH1_2022,GEMN-0096_PHN46_0014/LH244,10.850012009766665
DEH1_2022,GEMN-0096_PHN46_0018/LH244,10.114296217439778
DEH1_2022,GEMN-0096_PHN46_0020/LH244,9.788253306154534
DEH1_2022,GEMN-0096_PHN46_0023/LH244,11.19542542889781
DEH1_2022,GEMN-0096_PHP02_0001/LH244,10.688260827050119
DEH1_2022,GEMN-0096_PHP02_0002/LH244,10.86674713026392
DEH1_2022,GEMN-0096_PHP02_0003/LH244,10.364837427844039
DEH1_2022,GEMN-0096_PHP02_0004/LH244,9.95590260819666
DEH1_2022,GEMN-0096_PHP02_0005/LH244,10.332114479259442
DEH1_2022,GEMN-0096_PHP02_0006/LH244,10.279881131275033
DEH1_2022,GEMN-0096_PHP02_0007/LH244,10.333398797396617
DEH1_2022,GEMN-0096_PHP02_0009/LH244,10.644608548186833
DEH1_2022,GEMN-0096_PHP02_0011/LH244,10.824213101466444
DEH1_2022,GEMN-0096_PHP02_0012/LH244,10.850647671982712
DEH1_2022,GEMN-0096_PHP02_0015/LH244,10.849354525275665
DEH1_2022,GEMN-0096_PHP02_0016/LH244,10.975923740560514
DEH1_2022,GEMN-0096_PHP02_0025/LH244,10.39508938350608
DEH1_2022,GEMN-0096_PHP02_0030/LH244,10.60504395358428
DEH1_2022,GEMN-0097/LH244,10.506034066371386
DEH1_2022,GEMN-0097_LH212HT_0002/LH244,10.889085410795788
DEH1_2022,GEMN-0097_LH212HT_0004/LH244,11.305293876870266
DEH1_2022,GEMN-0097_LH212HT_0018/LH244,10.89799659428046
DEH1_2022,GEMN-0097_LH212HT_0019/LH244,10.841134497842239
DEH1_2022,GEMN-0097_LH212HT_0020/LH244,10.87085121209314
DEH1_2022,GEMN-0097_LH212HT_0023/LH244,11.143074157818788
DEH1_2022,GEMN-0097_LH212HT_0026/LH244,11.072215690280553
DEH1_2022,GEMN-0097_LH212HT_0032/LH244,10.759575657314073
DEH1_2022,GEMN-0097_LH212HT_0034/LH244,10.953502924677666
DEH1_2022,GEMN-0097_LH212HT_0039/LH244,10.841220935719079
DEH1_2022,GEMN-0097_LH212HT_0047/LH244,10.885436834218755
DEH1_2022,GEMN-0097_LH212HT_0051/LH244,10.943435515772475
DEH1_2022,GEMN-0097_LH212HT_0054/LH244,10.863664632320345
DEH1_2022,GEMN-0097_LH212HT_0058/LH244,10.73845598988807
DEH1_2022,GEMN-0097_LH212HT_0061/LH244,10.830184650892157
DEH1_2022,GEMN-0097_LH212HT_0062/LH244,10.930433360377835
DEH1_2022,GEMN-0097_LH212HT_0069/LH244,10.942757477228644
DEH1_2022,GEMN-0097_LH212HT_0074/LH244,11.127466554068544
DEH1_2022,GEMN-0097_LH212HT_0078/LH244,10.492808742583486
DEH1_2022,GEMN-0097_LH212HT_0085/LH244,10.956134557222658
DEH1_2022,GEMN-0097_LH212HT_0090/LH244,10.883985593561956
DEH1_2022,GEMN-0097_PHJ89_0001/LH244,10.96538734559496
DEH1_2022,GEMN-0097_PHJ89_0002/LH244,10.84266355797962
DEH1_2022,GEMN-0097_PHJ89_0003/LH244,10.943059980065176
DEH1_2022,GEMN-0097_PHJ89_0005/LH244,10.735335808432193
DEH1_2022,GEMN-0097_PHJ89_0006/LH244,10.955894542015578
DEH1_2022,GEMN-0097_PHJ89_0007/LH244,10.760773435720155
DEH1_2022,GEMN-0097_PHJ89_0008/LH244,10.846146619167227
DEH1_2022,GEMN-0097_PHJ89_0010/LH244,10.803861037456244
DEH1_2022,GEMN-0097_PHJ89_0011/LH244,10.56406832662966
DEH1_2022,GEMN-0097_PHJ89_0012/LH244,10.824738718012313
DEH1_2022,GEMN-0097_PHJ89_0013/LH244,10.962506023356156
DEH1_2022,GEMN-0097_PHJ89_0016/LH244,10.778032408936594
DEH1_2022,GEMN-0097_PHJ89_0020/LH244,10.814090581614519
DEH1_2022,GEMN-0097_PHJ89_0023/LH244,10.900682418696787
DEH1_2022,GEMN-0097_PHJ89_0025/LH244,10.867911293835572
DEH1_2022,GEMN-0097_PHJ89_0026/LH244,10.935785108659562
DEH1_2022,GEMN-0097_PHJ89_0027/LH244,10.65673518541241
DEH1_2022,GEMN-0097_PHJ89_0028/LH244,10.905567018884698
DEH1_2022,GEMN-0097_PHJ89_0029/LH244,10.921348220066324
DEH1_2022,GEMN-0097_PHJ89_0033/LH244,10.411412344428857
DEH1_2022,GEMN-0097_PHJ89_0036/LH244,11.160732951011209
DEH1_2022,GEMN-0097_PHJ89_0039/LH244,10.452251560402393
DEH1_2022,GEMN-0097_PHK76_0002/LH244,10.800164243628533
DEH1_2022,GEMN-0097_PHK76_0003/LH244,10.859590921349188
DEH1_2022,GEMN-0097_PHK76_0007/LH244,10.768653791043981
DEH1_2022,GEMN-0097_PHK76_0009/LH244,10.737555828959461
DEH1_2022,GEMN-0097_PHK76_0010/LH244,10.66093207831178
DEH1_2022,GEMN-0097_PHK76_0011/LH244,10.346026671255515
DEH1_2022,GEMN-0097_PHK76_0012/LH244,10.908460564820754
DEH1_2022,GEMN-0097_PHK76_0014/LH244,10.739298984562684
DEH1_2022,GEMN-0097_PHK76_0015/LH244,10.66093207831178
DEH1_2022,GEMN-0097_PHK76_0016/LH244,10.915033363426899
DEH1_2022,GEMN-0097_PHK76_0017/LH244,10.965000221223693
