Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,7.004627373081322
DEH1_2022,B37/H95,6.846095331609283
DEH1_2022,B73/MO17,7.514747107822223
DEH1_2022,B73/PHN82,7.565591093443294
DEH1_2022,B73/TX779,7.1532965385254395
DEH1_2022,B97/LH244,7.446111436424126
DEH1_2022,BGEM-0039-N/LH244,7.073346788711472
DEH1_2022,BGEM-0063-N/LH244,6.9979676816092695
DEH1_2022,BGEM-0089-N/LH244,7.169178995686851
DEH1_2022,BGEM-0124-N/LH244,6.989644620132897
DEH1_2022,BGEM-0129-N/LH244,7.401876199588468
DEH1_2022,CG119/CG108,6.529611750027113
DEH1_2022,CG44/CGR01,7.0092644138136055
DEH1_2022,DK3IIH6/LH244,7.0379038909203375
DEH1_2022,DK78010/LH244,7.248492146984836
DEH1_2022,GEMN-0096/LH244,7.161480977626942
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,7.291876774041937
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,7.43953202523907
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,7.32927191147442
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,7.323860664317439
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,7.335913645804192
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,7.348487180657811
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,7.354558696115904
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,7.32336684449076
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,7.314606453789172
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,7.359680299588226
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,7.263232728378245
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,7.437073997125401
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,7.26733679365892
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,7.35682229925677
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,7.193690608379078
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,7.352721438926332
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,7.241306820933794
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,7.232169237504162
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,7.19716919144748
