Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,8.499764589610134
DEH1_2022,B37/H95,8.296433364643844
DEH1_2022,B73/MO17,8.950858476486266
DEH1_2022,B73/PHN82,9.146490923195508
DEH1_2022,B73/TX779,8.563078360557645
DEH1_2022,B97/LH244,8.825718257335804
DEH1_2022,BGEM-0039-N/LH244,8.439788092800022
DEH1_2022,BGEM-0063-N/LH244,8.400398499056864
DEH1_2022,BGEM-0089-N/LH244,8.589769476132071
DEH1_2022,BGEM-0124-N/LH244,8.37545641475338
DEH1_2022,BGEM-0129-N/LH244,8.778274345179216
DEH1_2022,CG119/CG108,7.75030294191992
DEH1_2022,CG44/CGR01,8.29084642216143
DEH1_2022,DK3IIH6/LH244,8.45715553685404
DEH1_2022,DK78010/LH244,8.71514810229235
DEH1_2022,GEMN-0096/LH244,8.744371853895053
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,8.760131856833954
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,8.918711382342577
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,8.812645093638132
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,8.80388858770353
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,8.803786435562905
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,8.773736077765314
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,8.758393818444963
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,8.774272069558966
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,8.837938415820195
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,8.832088983629319
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,8.738601363782823
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,8.810503240007067
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,8.808288482026946
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,8.828076496008398
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,8.747891252605168
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,8.811695860371344
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,8.813575069267776
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,8.724751943246403
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,8.75995079845318
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,8.650098343590125
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,8.755048474497098
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,8.7149524449081
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,8.776588596914547
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,8.744318545369142
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,8.622775150314139
DEH1_2022,GEMN-0096_PHK76_0001/LH244,8.261540300033818
DEH1_2022,GEMN-0096_PHK76_0002/LH244,8.324060892651328
DEH1_2022,GEMN-0096_PHK76_0003/LH244,8.348499638848253
DEH1_2022,GEMN-0096_PHK76_0004/LH244,8.347174554559794
DEH1_2022,GEMN-0096_PHK76_0006/LH244,8.36139510689256
DEH1_2022,GEMN-0096_PHK76_0007/LH244,8.322583383023135
DEH1_2022,GEMN-0096_PHK76_0008/LH244,8.292322359484283
DEH1_2022,GEMN-0096_PHK76_0010/LH244,8.280004196345132
DEH1_2022,GEMN-0096_PHK76_0013/LH244,8.251054626425637
DEH1_2022,GEMN-0096_PHK76_0015/LH244,8.22238893852846
DEH1_2022,GEMN-0096_PHK76_0016/LH244,8.225062339029177
DEH1_2022,GEMN-0096_PHN46_0001/LH244,8.65384000303455
DEH1_2022,GEMN-0096_PHN46_0003/LH244,8.809164923603479
DEH1_2022,GEMN-0096_PHN46_0004/LH244,8.699661293204443
DEH1_2022,GEMN-0096_PHN46_0005/LH244,8.823940083034698
