,mse,rmse
linear_regression,"[6.448178746038802, 6.535428336629973, 6.411036191857325, 6.470312755028315, 6.528661670722696]","[2.5393264355019034, 2.556448383329883, 2.5320024075536196, 2.543680945997024, 2.555124590058711]"
ridge_cv,"[6.448325814817144, 6.53543824377112, 6.410929945712968, 6.47022084796638, 6.528697544277973]","[2.5393553935629303, 2.55645032100589, 2.5319814268104275, 2.5436628801722883, 2.555131609971974]"
elastic_cv,"[6.472635996866782, 6.550606161534861, 6.416509272753229, 6.473967261696875, 6.544432746528762]","[2.54413757428068, 2.559415199129454, 2.53308295812696, 2.5443991946423963, 2.558208894232205]"
bayesian_ridge,"[6.449006339426629, 6.535509616023964, 6.410571828097864, 6.469909163031609, 6.528873052157123]","[2.5394893855707745, 2.5564642802167143, 2.5319107069756357, 2.5436016124840792, 2.555165953936676]"
poisson,"[7.014503011835106, 7.05554029939074, 6.956322946367637, 6.940466864789932, 7.0670280129808205]","[2.648490704502303, 2.6562267033125657, 2.6374842077949276, 2.634476582699101, 2.658388235939367]"
gamma,"[7.821872403149222, 7.787220903452478, 7.767111907204264, 7.7072885641212965, 7.842059222401212]","[2.796761055783855, 2.7905592456445856, 2.7869538760453616, 2.7762003825591006, 2.8003676941432554]"
ard,"[6.4486080198513855, 6.5348509592833155, 6.410733525382454, 6.469821070848941, 6.528601783969257]","[2.5394109592288103, 2.5563354551551556, 2.5319426386437853, 2.5435842959982558, 2.5551128710820694]"
sgd,"[6.497093948212722, 6.586970219026859, 6.428302977441254, 6.492798241472316, 6.579888406199597]","[2.548939769436054, 2.5665093452054406, 2.535409824356065, 2.5480969843144345, 2.565129315687534]"
random_forest,"[3.629842361873174, 3.7084633256416266, 3.688941132250103, 3.72357171199828, 3.72615919039332]","[1.9052145185970986, 1.9257370863234748, 1.9206616391884603, 1.929655853254222, 1.9303261875634699]"
extra_trees,"[3.994599199495553, 4.096290079237717, 4.035306363099352, 4.034330352960587, 4.079270898941945]","[1.9986493438058495, 2.0239293661681272, 2.0088071990859033, 2.008564251638614, 2.019720500203418]"
hist_gbr_iter100k,"[3.2682171711829935, 3.3764771047246716, 3.339803232005499, 3.3548473069756937, 3.425346003528506]","[1.8078211114994187, 1.8375192800960407, 1.827512854128665, 1.8316242264655962, 1.8507690303029458]"
