Env,Hybrid,Yield_Mg_ha
DEH1_2022,B14A/OH43,7.706278206912914
DEH1_2022,B37/H95,7.511784594433359
DEH1_2022,B73/MO17,8.37207594302457
DEH1_2022,B73/PHN82,8.376058821303312
DEH1_2022,B73/TX779,7.8684223508809295
DEH1_2022,B97/LH244,8.086679796409136
DEH1_2022,BGEM-0039-N/LH244,7.681731629128251
DEH1_2022,BGEM-0063-N/LH244,7.648706496215688
DEH1_2022,BGEM-0089-N/LH244,7.879173559096704
DEH1_2022,BGEM-0124-N/LH244,7.611774070810664
DEH1_2022,BGEM-0129-N/LH244,8.06148826991249
DEH1_2022,CG119/CG108,7.310094060324845
DEH1_2022,CG44/CGR01,7.5200873408126
DEH1_2022,DK3IIH6/LH244,7.830744884530736
DEH1_2022,DK78010/LH244,7.981474691403337
DEH1_2022,GEMN-0096/LH244,7.931997839855616
DEH1_2022,GEMN-0096_LH212HT_0001/LH244,8.050091772122796
DEH1_2022,GEMN-0096_LH212HT_0002/LH244,8.134687167285318
DEH1_2022,GEMN-0096_LH212HT_0003/LH244,8.082627215768541
DEH1_2022,GEMN-0096_LH212HT_0004/LH244,8.056703222509906
DEH1_2022,GEMN-0096_LH212HT_0005/LH244,8.08425821743484
DEH1_2022,GEMN-0096_LH212HT_0006/LH244,8.085638298038784
DEH1_2022,GEMN-0096_LH212HT_0008/LH244,8.070523752632543
DEH1_2022,GEMN-0096_LH212HT_0009/LH244,8.073103472146354
DEH1_2022,GEMN-0096_LH212HT_0012/LH244,8.037381563508946
DEH1_2022,GEMN-0096_LH212HT_0013/LH244,8.067224867353335
DEH1_2022,GEMN-0096_LH212HT_0017/LH244,8.007347033319027
DEH1_2022,GEMN-0096_LH212HT_0020/LH244,8.123034234373026
DEH1_2022,GEMN-0096_LH212HT_0021/LH244,7.987063915319248
DEH1_2022,GEMN-0096_LH212HT_0027/LH244,7.99469930572228
DEH1_2022,GEMN-0096_PHJ89_0001/LH244,8.00781262217242
DEH1_2022,GEMN-0096_PHJ89_0002/LH244,8.035960921067694
DEH1_2022,GEMN-0096_PHJ89_0006/LH244,8.031928498268796
DEH1_2022,GEMN-0096_PHJ89_0007/LH244,8.01614817029019
DEH1_2022,GEMN-0096_PHJ89_0009/LH244,7.916780992499923
DEH1_2022,GEMN-0096_PHJ89_0010/LH244,7.979543474757756
DEH1_2022,GEMN-0096_PHJ89_0011/LH244,7.94687550791311
DEH1_2022,GEMN-0096_PHJ89_0012/LH244,7.95531685106088
DEH1_2022,GEMN-0096_PHJ89_0013/LH244,7.987014120335254
DEH1_2022,GEMN-0096_PHJ89_0014/LH244,7.924040609008942
DEH1_2022,GEMN-0096_PHJ89_0016/LH244,7.894604914526665
DEH1_2022,GEMN-0096_PHK76_0001/LH244,7.666301583762419
DEH1_2022,GEMN-0096_PHK76_0002/LH244,7.7137695129877795
DEH1_2022,GEMN-0096_PHK76_0003/LH244,7.760035284335784
DEH1_2022,GEMN-0096_PHK76_0004/LH244,7.693094823808701
DEH1_2022,GEMN-0096_PHK76_0006/LH244,7.777073645708478
DEH1_2022,GEMN-0096_PHK76_0007/LH244,7.734366185030004
DEH1_2022,GEMN-0096_PHK76_0008/LH244,7.697755598455728
DEH1_2022,GEMN-0096_PHK76_0010/LH244,7.7289569492826855
DEH1_2022,GEMN-0096_PHK76_0013/LH244,7.717730364914933
DEH1_2022,GEMN-0096_PHK76_0015/LH244,7.64182086245872
DEH1_2022,GEMN-0096_PHK76_0016/LH244,7.689068970938514
DEH1_2022,GEMN-0096_PHN46_0001/LH244,7.870468516400893
DEH1_2022,GEMN-0096_PHN46_0003/LH244,8.051551081164323
DEH1_2022,GEMN-0096_PHN46_0004/LH244,7.928365932381031
DEH1_2022,GEMN-0096_PHN46_0005/LH244,8.046556813422201
DEH1_2022,GEMN-0096_PHN46_0007/LH244,8.079860679135178
DEH1_2022,GEMN-0096_PHN46_0008/LH244,8.110321392625957
DEH1_2022,GEMN-0096_PHN46_0012/LH244,7.991886069388897
DEH1_2022,GEMN-0096_PHN46_0013/LH244,7.659045547412892
DEH1_2022,GEMN-0096_PHN46_0014/LH244,8.004872157830993
DEH1_2022,GEMN-0096_PHN46_0018/LH244,7.861123303236931
DEH1_2022,GEMN-0096_PHN46_0020/LH244,7.728393961213855
