,mse,rmse
linear_regression,"[7.136592019687121, 7.173641073207559, 7.161808145910798, 7.090829605934553, 7.190866541420602, 7.154437776419022, 7.3395282913663715, 7.153828242019189, 7.368018378814354, 7.23307206474305]","[2.6714400647753864, 2.678365373358825, 2.676155478650446, 2.6628611691063715, 2.6815791133995286, 2.674778079844947, 2.709156380013227, 2.6746641363018253, 2.7144093977906785, 2.6894371278658014]"
ridge_cv,"[7.136593693567262, 7.173657273261484, 7.161712775767763, 7.090843329417122, 7.190817727072319, 7.154422740227073, 7.339595714276387, 7.153861519795621, 7.368043748662476, 7.233167469287775]","[2.6714403780670946, 2.6783683975998307, 2.676137660092949, 2.662863745935402, 2.681570011592522, 2.6747752691071214, 2.709168823509599, 2.674670357220796, 2.7144140709667854, 2.6894548647054433]"
elastic_cv,"[7.150127739053602, 7.192026827245231, 7.175167690633499, 7.1064403715309, 7.207028052357457, 7.169936360683404, 7.359656247536708, 7.174549379430478, 7.387212266345471, 7.256329866968139]","[2.673972277166239, 2.6817954484347295, 2.678650348708002, 2.665790759142754, 2.68459085380947, 2.6776736845036595, 2.712868638090814, 2.678534931530757, 2.7179426532481274, 2.693757573904552]"
orthogonal_mp,"[8.114971634619627, 8.239899717577627, 8.255956021057388, 8.172926615257413, 8.236200484418452, 8.248514324513017, 8.415278093830738, 8.203016553775218, 8.463340144140124, 8.312437648475472]","[2.8486789279628595, 2.8705225513097137, 2.8733179463918344, 2.8588330862884272, 2.869878130586463, 2.8720226887183564, 2.9009098734415617, 2.864090877359728, 2.9091820403921314, 2.883129835521715]"
bayesian_ridge,"[7.136624776888104, 7.173741418840643, 7.161456218094309, 7.090915310089302, 7.190699923896086, 7.154404945057033, 7.339847347318139, 7.154002657231392, 7.368156830331201, 7.233521913021643]","[2.6714461957688957, 2.6783841059192093, 2.676089725344483, 2.6628772615517415, 2.681548046165887, 2.6747719426255827, 2.7092152641158176, 2.674696741171117, 2.7144349007355473, 2.689520758986932]"
poisson,"[7.611693964171437, 7.690778616946897, 7.70019695968874, 7.600571652642825, 7.714831554205316, 7.6716008774756705, 7.864362231170813, 7.661168349088094, 7.91424083278512, 7.744027766650496]","[2.758929858508809, 2.7732253094451047, 2.7749228745478205, 2.7569134285723997, 2.777558559995687, 2.769765491422635, 2.804347024027307, 2.7678815634141745, 2.813226054334262, 2.782809329912938]"
gamma,"[8.134707307230553, 8.21150517964493, 8.223085033190635, 8.128344822049293, 8.252543816742797, 8.205721730647603, 8.398101998659293, 8.180215077225723, 8.465396792609555, 8.30505951812017]","[2.8521408287864314, 2.8655724000005534, 2.8675922013408104, 2.8510252229766913, 2.872724110794978, 2.864563095944581, 2.897947894400328, 2.860107528962106, 2.909535494303095, 2.881850016590067]"
ard,"[7.13675724923615, 7.1734611210972705, 7.162291318060979, 7.09056555746732, 7.191332413699985, 7.154621537253814, 7.339427492783149, 7.1543619287677425, 7.368365274869989, 7.233015966595275]","[2.671470989780003, 2.678331779503292, 2.676245750685273, 2.6628115888037067, 2.681665977279793, 2.674812430293723, 2.709137776633582, 2.674763901500045, 2.714473296031845, 2.6894266984982647]"
sgd,"[7.187258072349837, 7.230552775358091, 7.207707120996498, 7.140345081430839, 7.253655420905249, 7.203142963213209, 7.403064236191038, 7.208527719451782, 7.4245394441339, 7.295074633924204]","[2.6809062035718143, 2.6889687196689533, 2.684717326087888, 2.672142414137173, 2.6932611126486137, 2.6838671657168893, 2.7208572612673083, 2.6848701494582157, 2.7248008081571577, 2.700939583538329]"
lars,"[7.136592019687117, 7.173641073207559, 7.161808145910805, 7.090829605934552, 7.1908665414206006, 7.154437776419024, 7.339528291366375, 7.15382824201919, 7.368018378814356, 7.233072064743054]","[2.6714400647753855, 2.678365373358825, 2.6761554786504473, 2.6628611691063715, 2.681579113399528, 2.6747780798449474, 2.7091563800132277, 2.6746641363018253, 2.714409397790679, 2.6894371278658022]"
