,mse,rmse
linear_regression,"[7.076853490022822, 7.166475528303803, 7.106058638052963, 7.076525052120091, 7.053737720621337, 7.092028794246641, 7.11843147339503, 7.046478559216768, 6.960519402780656, 6.954973979580091]","[2.6602356079909204, 2.6770273678660446, 2.665719159636469, 2.6601738762945724, 2.6558873697168215, 2.6630863287258717, 2.668038881537342, 2.6545204009795755, 2.638279629376055, 2.637228465563818]"
ridge_cv,"[7.0769971542327434, 7.166575741998158, 7.106037953536732, 7.076531433226125, 7.053541954645722, 7.091909776938316, 7.1186185172896055, 7.046582401058086, 6.960591714265634, 6.954946800940535]","[2.6602626100129183, 2.677046085146492, 2.6657152799083272, 2.6601750756719236, 2.6558505143636606, 2.6630639828848115, 2.6680739339998816, 2.654539960343051, 2.638293333627941, 2.6372233126795566]"
elastic_cv,"[7.103820406748868, 7.194069530988822, 7.127582018342386, 7.099412926453449, 7.063884158666897, 7.106592521045231, 7.153004302227111, 7.073295508164099, 6.987108172178125, 6.974303316449999]","[2.6652993090362043, 2.682176267695474, 2.6697531755468304, 2.664472354229529, 2.6577968618137273, 2.665819296397494, 2.674510105089736, 2.6595667895663193, 2.6433138618367145, 2.6408906293994834]"
orthogonal_mp,"[8.063040794005065, 8.154770297402282, 8.067161826305965, 8.137348357429703, 7.943083744023277, 8.026232879894316, 8.184873522952723, 8.010814330831872, 7.998832069055938, 7.882549899875917]","[2.839549399817701, 2.8556558436552333, 2.8402749561100533, 2.852603785566741, 2.8183476975034996, 2.8330606911773555, 2.860921796021821, 2.8303382007865903, 2.828220654237561, 2.8075879148970415]"
bayesian_ridge,"[7.077496029599662, 7.16693535684244, 7.106034401052641, 7.07660561440568, 7.0530723680720975, 7.091636640070944, 7.119269387287819, 7.046955238397632, 6.960868537017219, 6.9549241885465625]","[2.6603563726688315, 2.6771132506568414, 2.665714613579751, 2.660189018548434, 2.655762106829619, 2.6630126999454853, 2.6681959049679653, 2.654610185770715, 2.6383457955729037, 2.6372190255165693]"
poisson,"[7.464147204780238, 7.563766992324048, 7.500517642228389, 7.486341000008319, 7.375624596179801, 7.478012737423031, 7.560720132210649, 7.428846909178261, 7.390682503670073, 7.296685758075584]","[2.7320591510397865, 2.750230352593042, 2.738707294003576, 2.7361178702695392, 2.7158101178432563, 2.7345955345211532, 2.749676368631525, 2.7255911118834866, 2.7185809724321386, 2.701237819607075]"
gamma,"[8.126736686633771, 8.214390228897097, 8.163788244462355, 8.153385338996527, 8.026417758749817, 8.145447744015334, 8.221124554953809, 8.08959773477803, 8.067744121089397, 7.933513986477174]","[2.850743181458788, 2.8660757542146538, 2.857234369886789, 2.855413339430305, 2.8330933198096067, 2.854023080498007, 2.86725034745029, 2.8442218153262995, 2.8403774610233405, 2.8166494255546204]"
ard,"[7.075908667666161, 7.166342918124027, 7.106529649115052, 7.076579997415582, 7.052149664551245, 7.091793237472473, 7.118851763097451, 7.046869412373907, 6.960446161864392, 6.954546355809858]","[2.6600580196052417, 2.67700259957364, 2.665807504137358, 2.6601842036625176, 2.6555883838711236, 2.6630421020840944, 2.6681176441636625, 2.654594020255057, 2.638265748908626, 2.637147389853259]"
sgd,"[7.136238274649183, 7.223481811102093, 7.149715941141429, 7.122161092846346, 7.0928928980170705, 7.142915942090009, 7.183289873821422, 7.123650633900843, 7.0103722156003325, 6.998951434346746]","[2.671373855275443, 2.6876535883744563, 2.673895274901661, 2.668737733994546, 2.6632485610654277, 2.672623419430805, 2.680166016093298, 2.6690167916108813, 2.6477107499876817, 2.6455531433609014]"
lars,"[7.076853490022818, 7.166475528303801, 7.106058638052963, 7.076525052120091, 7.0537377206213305, 7.092028794246643, 7.11843147339503, 7.046478559216767, 6.96051940278065, 6.954973979580089]","[2.6602356079909195, 2.677027367866044, 2.665719159636469, 2.6601738762945724, 2.65588736971682, 2.6630863287258717, 2.668038881537342, 2.6545204009795755, 2.638279629376054, 2.6372284655638176]"
