Env,Hybrid,Yield_Mg_ha
ILH1_2022,B14A/OH43,9.051571135634259
ILH1_2022,B37/H95,9.054756657060544
ILH1_2022,B73/MO17,9.191153672553504
ILH1_2022,B73/PHK76,9.658266855317123
ILH1_2022,B73/PHN82,9.910351047502804
ILH1_2022,B73/PHZ51,9.142451240576213
ILH1_2022,B73/TX779,9.347408239035511
ILH1_2022,B97/LH244,9.292472076635297
ILH1_2022,BGEM-0039-N/LH244,9.173104858162564
ILH1_2022,BGEM-0063-N/LH244,9.13436066028903
ILH1_2022,BGEM-0089-N/LH244,9.24997609871541
ILH1_2022,BGEM-0124-N/LH244,9.029739245416712
ILH1_2022,BGEM-0129-N/LH244,9.159386480049495
ILH1_2022,CG119/CG108,9.397239986354142
ILH1_2022,CG44/CGR01,9.576269522352515
ILH1_2022,DK3IIH6/LH244,9.349758825312412
ILH1_2022,DK78010/LH244,9.422687823007813
ILH1_2022,GEMN-0096/LH244,9.163304904012865
ILH1_2022,GEMN-0096_LH212HT_0001/LH244,9.246525971122782
ILH1_2022,GEMN-0096_LH212HT_0004/LH244,9.269655236620787
ILH1_2022,GEMN-0096_LH212HT_0005/LH244,9.314920033637275
ILH1_2022,GEMN-0096_LH212HT_0006/LH244,9.302531612160626
ILH1_2022,GEMN-0096_LH212HT_0009/LH244,9.268026045768659
ILH1_2022,GEMN-0096_LH212HT_0010/LH244,9.301520168324739
ILH1_2022,GEMN-0096_LH212HT_0011/LH244,9.2972161935844
ILH1_2022,GEMN-0096_LH212HT_0012/LH244,9.278520585820013
ILH1_2022,GEMN-0096_LH212HT_0013/LH244,9.282384831934966
ILH1_2022,GEMN-0096_LH212HT_0017/LH244,9.228950486039249
ILH1_2022,GEMN-0096_LH212HT_0021/LH244,9.230376341052779
ILH1_2022,GEMN-0096_PHJ89_0001/LH244,9.229805028515042
ILH1_2022,GEMN-0096_PHJ89_0002/LH244,9.254424748533781
ILH1_2022,GEMN-0096_PHJ89_0006/LH244,9.225784869922297
ILH1_2022,GEMN-0096_PHJ89_0007/LH244,9.154871197065104
ILH1_2022,GEMN-0096_PHJ89_0009/LH244,9.123978830926601
ILH1_2022,GEMN-0096_PHJ89_0010/LH244,9.094181351209746
ILH1_2022,GEMN-0096_PHJ89_0011/LH244,9.093736608720299
ILH1_2022,GEMN-0096_PHJ89_0012/LH244,9.206704230826919
ILH1_2022,GEMN-0096_PHJ89_0013/LH244,9.183262304051032
ILH1_2022,GEMN-0096_PHJ89_0014/LH244,9.118581477062843
ILH1_2022,GEMN-0096_PHJ89_0016/LH244,9.130815804141568
ILH1_2022,GEMN-0096_PHJ89_0017/LH244,9.159439040611392
ILH1_2022,GEMN-0096_PHK76_0001/LH244,9.511501468749518
ILH1_2022,GEMN-0096_PHK76_0002/LH244,9.514124684539832
ILH1_2022,GEMN-0096_PHK76_0003/LH244,9.522412301724447
ILH1_2022,GEMN-0096_PHK76_0004/LH244,9.52957082976873
ILH1_2022,GEMN-0096_PHK76_0006/LH244,9.536469223878395
ILH1_2022,GEMN-0096_PHK76_0007/LH244,9.531495138894389
ILH1_2022,GEMN-0096_PHK76_0008/LH244,9.530823095071641
ILH1_2022,GEMN-0096_PHK76_0009/LH244,9.493496103098106
ILH1_2022,GEMN-0096_PHK76_0010/LH244,9.508114143408767
