,mse,rmse
linear_regression,"[6.893511783963847, 6.8819620040387735, 6.664976211376105, 6.783745116867569, 6.7567161034589756, 6.80428776698495, 6.63170938974515, 6.760743462430326, 6.876819192215383, 7.051512331982523]","[2.625549806033747, 2.623349386574113, 2.5816615214578587, 2.604562365708982, 2.5993684047204573, 2.6085029743101598, 2.5752105525073383, 2.6001429696134646, 2.622369003823715, 2.6554683827872103]"
ridge_cv,"[6.893390492389461, 6.8821105527136215, 6.664677574873749, 6.78363247984829, 6.75654341263115, 6.804166611552965, 6.631588340204255, 6.760864804531992, 6.877169996398163, 7.05149730345435]","[2.6255267076130573, 2.6233776992102418, 2.5816036827665374, 2.604540742597107, 2.5993351866643035, 2.6084797510337254, 2.5751870495566442, 2.600166303245235, 2.622435889854729, 2.6554655530536166]"
elastic_cv,"[6.899711727928532, 6.89434689431335, 6.669077252781339, 6.789928877468617, 6.758541215587955, 6.8111346918281095, 6.635307553454827, 6.774770535647137, 6.897393851820653, 7.05827596315072]","[2.626730235088585, 2.625708836545543, 2.5824556632750424, 2.6057491969620976, 2.5997194493998683, 2.6098150685111983, 2.5759090732117906, 2.6028389377076593, 2.6262889886340868, 2.656741606395082]"
orthogonal_mp,"[7.467192505652166, 7.460162307504694, 7.278598429625187, 7.429403575265612, 7.310754868690861, 7.435886104329446, 7.18451429373277, 7.3665331873131255, 7.4646683323923035, 7.612439536102359]","[2.7326164212439634, 2.7313297690877048, 2.6978877718736163, 2.725693228385324, 2.7038407624508625, 2.726882121458397, 2.680394428760956, 2.7141358085610094, 2.7321545220562293, 2.7590649749693026]"
bayesian_ridge,"[6.893005131363473, 6.883127009632623, 6.663515320797155, 6.7832790680382224, 6.755887784563197, 6.803776106330975, 6.631165551813589, 6.761769759387528, 6.8796147756708645, 7.0515965032814965]","[2.6254533192124123, 2.6235714226284412, 2.5813785698337925, 2.6044728963915564, 2.5992090690368093, 2.6084048969304927, 2.575104959378081, 2.6003403160716347, 2.6229019759935492, 2.6554842314126996]"
poisson,"[7.210594621833343, 7.202676139031674, 7.031404107573174, 7.1462921940823145, 7.042808195948072, 7.179731628511727, 6.93986106029236, 7.052737511206624, 7.198664763817516, 7.320476396747573]","[2.685255038508138, 2.6837801957372878, 2.6516794880930035, 2.673254981119892, 2.6538289688576526, 2.6795021232519534, 2.63436160393602, 2.6556990626211068, 2.683032754890912, 2.705637890913633]"
gamma,"[7.8099416524482, 7.831307149552181, 7.646108232179361, 7.793592008252702, 7.6322542604773345, 7.811093509358082, 7.557816664401112, 7.5995893643698205, 7.7870166713610045, 7.891815050647355]","[2.7946272832791497, 2.7984472747493707, 2.7651597118754934, 2.791700558486297, 2.762653481795597, 2.7948333598549455, 2.7491483525632283, 2.75673527281272, 2.790522652006431, 2.8092374500293413]"
ard,"[6.893693050150388, 6.881969751712936, 6.662647683525067, 6.7844469824651545, 6.755862247379404, 6.80498011560846, 6.631306179512013, 6.760956927397663, 6.876567296130389, 7.050876244861933]","[2.625584325469359, 2.6233508632496982, 2.581210507402499, 2.604697099945626, 2.599204156540883, 2.6086356808892384, 2.5751322644695382, 2.6001840179875084, 2.622320975039171, 2.6553486107970707]"
sgd,"[6.908517409155236, 6.912565796731209, 6.690258407540306, 6.796439176106583, 6.787067472894841, 6.82150882903143, 6.647111257862558, 6.806851262961273, 6.9205222505883786, 7.072808820210224]","[2.6284058684220053, 2.62917587786196, 2.586553383856654, 2.6069981158617246, 2.605200083082841, 2.611801835712547, 2.578199227729028, 2.608994301059562, 2.6306885506628066, 2.659475290392867]"
lars,"[6.893511783963845, 6.881962004038774, 6.6649762113761035, 6.783745116867567, 6.756716103458977, 6.804287766984948, 6.63170938974515, 6.760743462430324, 6.876819192215388, 7.051512331982522]","[2.6255498060337468, 2.623349386574113, 2.581661521457858, 2.604562365708982, 2.5993684047204577, 2.6085029743101593, 2.5752105525073383, 2.600142969613464, 2.622369003823716, 2.6554683827872103]"
