,mse_mean,mse_std,rmse_mean,rmse_std
linear_regression,7.2002622139522625,0.08436511055069547,2.683284632110704,0.015677915383987363
ridge_cv,7.2002715991335275,0.0843864666795822,2.683286357879754,0.0156818605379248
elastic_cv,7.217847480178489,0.08605119990612954,2.6865577168539105,0.015972294487426642
orthogonal_mp,8.266254123766508,0.1003981543759373,2.875056595797279,0.017426839331011183
bayesian_ridge,7.200337134076785,0.08445635729522394,2.683298494238521,0.01569474096854459
poisson,7.7173472804825405,0.09599304531894362,2.7779579494181137,0.017231127277375875
gamma,8.250468127612056,0.10416091633727942,2.8723058794099643,0.01808487542140859
ard,7.200419985983167,0.08437662395277877,2.6833140189009526,0.015679985739311612
sgd,7.255386746795464,0.08814236043865724,2.6935330744252344,0.01631942930405469
lars,7.2002622139522625,0.08436511055069652,2.683284632110704,0.01567791538398762
