Env,Hybrid,Yield_Mg_ha
NCH1_2022,B14A/H95,8.556076414754418
NCH1_2022,B14A/MO17,8.485967575309033
NCH1_2022,B14A/OH43,8.502367931983494
NCH1_2022,B37/H95,8.557336756032598
NCH1_2022,B37/MO17,8.469521643890307
NCH1_2022,B37/OH43,8.505015721100525
NCH1_2022,B73/MO17,8.665729720836536
NCH1_2022,B73/PHK76,9.129584884563164
NCH1_2022,B73/PHM49,9.339796184168671
NCH1_2022,B73/PHN82,9.39500677367709
NCH1_2022,B73/PHZ51,8.606723115319031
NCH1_2022,B73/TX779,8.854667497785549
NCH1_2022,B97/LH244,8.806275132701135
NCH1_2022,BGEM-0039-N/LH244,8.686709103412587
NCH1_2022,BGEM-0063-N/LH244,8.610443026970142
NCH1_2022,BGEM-0089-N/LH244,8.724020756123538
NCH1_2022,BGEM-0124-N/LH244,8.4918257575732
NCH1_2022,BGEM-0129-N/LH244,8.692745386432902
NCH1_2022,CG119/CG108,8.86073067461391
NCH1_2022,CG44/CGR01,9.077452097301897
NCH1_2022,DK3IIH6/LH244,8.770780688884988
NCH1_2022,DK78010/LH244,8.927669063561437
NCH1_2022,F42/H95,8.72463810926739
NCH1_2022,F42/MO17,8.655429649016781
NCH1_2022,F42/OH43,8.674347733222557
NCH1_2022,GEMN-0096/LH244,8.655556539819937
NCH1_2022,GEMN-0096_LH212HT_0001/LH244,8.736179864051213
NCH1_2022,GEMN-0096_LH212HT_0002/LH244,8.836528893785063
NCH1_2022,GEMN-0096_LH212HT_0003/LH244,8.772821150287198
NCH1_2022,GEMN-0096_LH212HT_0004/LH244,8.776729531704161
NCH1_2022,GEMN-0096_LH212HT_0005/LH244,8.816265918239914
NCH1_2022,GEMN-0096_LH212HT_0006/LH244,8.807128122015202
NCH1_2022,GEMN-0096_LH212HT_0008/LH244,8.796233837528947
NCH1_2022,GEMN-0096_LH212HT_0009/LH244,8.773075250224792
NCH1_2022,GEMN-0096_LH212HT_0010/LH244,8.792436487862824
NCH1_2022,GEMN-0096_LH212HT_0011/LH244,8.813217375334986
NCH1_2022,GEMN-0096_LH212HT_0012/LH244,8.782855318527641
NCH1_2022,GEMN-0096_LH212HT_0013/LH244,8.786005625462582
NCH1_2022,GEMN-0096_LH212HT_0014/LH244,8.821968135849449
NCH1_2022,GEMN-0096_LH212HT_0017/LH244,8.715146085969787
NCH1_2022,GEMN-0096_LH212HT_0020/LH244,8.793594116073175
NCH1_2022,GEMN-0096_LH212HT_0021/LH244,8.722308021562514
NCH1_2022,GEMN-0096_LH212HT_0027/LH244,8.751228945428938
NCH1_2022,GEMN-0096_PHJ89_0001/LH244,8.715425515022817
NCH1_2022,GEMN-0096_PHJ89_0002/LH244,8.743762188395571
NCH1_2022,GEMN-0096_PHJ89_0006/LH244,8.722927273565187
NCH1_2022,GEMN-0096_PHJ89_0007/LH244,8.622761536913766
NCH1_2022,GEMN-0096_PHJ89_0009/LH244,8.588576797129505
NCH1_2022,GEMN-0096_PHJ89_0010/LH244,8.547758207556711
NCH1_2022,GEMN-0096_PHJ89_0011/LH244,8.546380192176898
NCH1_2022,GEMN-0096_PHJ89_0012/LH244,8.667769776988298
NCH1_2022,GEMN-0096_PHJ89_0013/LH244,8.652233232471158
NCH1_2022,GEMN-0096_PHJ89_0014/LH244,8.592250145686862
NCH1_2022,GEMN-0096_PHJ89_0016/LH244,8.628746432072365
NCH1_2022,GEMN-0096_PHJ89_0017/LH244,8.629233520956074
NCH1_2022,GEMN-0096_PHK76_0001/LH244,8.991889072703229
NCH1_2022,GEMN-0096_PHK76_0002/LH244,8.999926267513713
NCH1_2022,GEMN-0096_PHK76_0003/LH244,9.002476496881776
NCH1_2022,GEMN-0096_PHK76_0004/LH244,9.022898669519355
NCH1_2022,GEMN-0096_PHK76_0006/LH244,9.019489106533323
NCH1_2022,GEMN-0096_PHK76_0007/LH244,9.01749294270656
NCH1_2022,GEMN-0096_PHK76_0008/LH244,9.020611230102473
NCH1_2022,GEMN-0096_PHK76_0009/LH244,8.962921701567732
NCH1_2022,GEMN-0096_PHK76_0010/LH244,8.987782931862979
NCH1_2022,GEMN-0096_PHK76_0013/LH244,8.97744259088788
NCH1_2022,GEMN-0096_PHK76_0015/LH244,8.986814067220521
NCH1_2022,GEMN-0096_PHK76_0016/LH244,8.985336235224445
NCH1_2022,GEMN-0096_PHN46_0001/LH244,8.825514759891139
NCH1_2022,GEMN-0096_PHN46_0002/LH244,8.823387550472436
NCH1_2022,GEMN-0096_PHN46_0003/LH244,8.952128932530027
NCH1_2022,GEMN-0096_PHN46_0004/LH244,8.849913725207378
NCH1_2022,GEMN-0096_PHN46_0005/LH244,8.801578269293017
NCH1_2022,GEMN-0096_PHN46_0007/LH244,8.782767508531988
NCH1_2022,GEMN-0096_PHN46_0008/LH244,8.974059949854215
NCH1_2022,GEMN-0096_PHN46_0009/LH244,8.625617045732422
NCH1_2022,GEMN-0096_PHN46_0010/LH244,8.736755057449194
NCH1_2022,GEMN-0096_PHN46_0011/LH244,8.834357793786758
NCH1_2022,GEMN-0096_PHN46_0012/LH244,8.860596346586588
NCH1_2022,GEMN-0096_PHN46_0013/LH244,8.634091561298064
NCH1_2022,GEMN-0096_PHN46_0014/LH244,8.6920365706772
NCH1_2022,GEMN-0096_PHN46_0018/LH244,8.659159291448752
NCH1_2022,GEMN-0096_PHN46_0020/LH244,8.73662806873098
NCH1_2022,GEMN-0096_PHN46_0023/LH244,8.791511935674961
NCH1_2022,GEMN-0096_PHP02_0001/LH244,8.676647200267784
NCH1_2022,GEMN-0096_PHP02_0002/LH244,8.70555774715607
NCH1_2022,GEMN-0096_PHP02_0003/LH244,8.708069464901717
NCH1_2022,GEMN-0096_PHP02_0004/LH244,8.582549259876874
NCH1_2022,GEMN-0096_PHP02_0005/LH244,8.47171487227142
NCH1_2022,GEMN-0096_PHP02_0006/LH244,8.678297968063873
NCH1_2022,GEMN-0096_PHP02_0007/LH244,8.677979779980591
NCH1_2022,GEMN-0096_PHP02_0009/LH244,8.638440745971172
NCH1_2022,GEMN-0096_PHP02_0011/LH244,8.674675132443156
NCH1_2022,GEMN-0096_PHP02_0012/LH244,8.709802826622598
NCH1_2022,GEMN-0096_PHP02_0015/LH244,8.75771767278788
NCH1_2022,GEMN-0096_PHP02_0016/LH244,8.730188025055284
NCH1_2022,GEMN-0096_PHP02_0017/LH244,8.671526533194093
NCH1_2022,GEMN-0096_PHP02_0022/LH244,8.779762211479271
NCH1_2022,GEMN-0096_PHP02_0025/LH244,8.640401162843235
NCH1_2022,GEMN-0096_PHP02_0030/LH244,8.624191552210197
NCH1_2022,GEMN-0097/LH244,8.82066248698541
NCH1_2022,GEMN-0097_LH212HT_0002/LH244,8.83113123139216
NCH1_2022,GEMN-0097_LH212HT_0004/LH244,8.774130578022682
NCH1_2022,GEMN-0097_LH212HT_0017/LH244,8.77674199510114
NCH1_2022,GEMN-0097_LH212HT_0018/LH244,8.830845852233082
NCH1_2022,GEMN-0097_LH212HT_0019/LH244,8.933032041374043
NCH1_2022,GEMN-0097_LH212HT_0020/LH244,8.814896140941183
NCH1_2022,GEMN-0097_LH212HT_0023/LH244,8.823668984767084
NCH1_2022,GEMN-0097_LH212HT_0026/LH244,8.854081569810656
NCH1_2022,GEMN-0097_LH212HT_0032/LH244,8.719690822510408
NCH1_2022,GEMN-0097_LH212HT_0034/LH244,8.746828375703481
NCH1_2022,GEMN-0097_LH212HT_0039/LH244,8.844809430192223
NCH1_2022,GEMN-0097_LH212HT_0047/LH244,8.769250433535486
NCH1_2022,GEMN-0097_LH212HT_0051/LH244,8.878506758233835
NCH1_2022,GEMN-0097_LH212HT_0054/LH244,8.833034497192571
NCH1_2022,GEMN-0097_LH212HT_0058/LH244,8.719009106138724
NCH1_2022,GEMN-0097_LH212HT_0061/LH244,8.883607891530414
NCH1_2022,GEMN-0097_LH212HT_0062/LH244,8.906598643761276
NCH1_2022,GEMN-0097_LH212HT_0069/LH244,8.926032919671304
NCH1_2022,GEMN-0097_LH212HT_0074/LH244,8.838395572716706
NCH1_2022,GEMN-0097_LH212HT_0078/LH244,8.855300523874963
NCH1_2022,GEMN-0097_LH212HT_0085/LH244,8.919775869606152
NCH1_2022,GEMN-0097_LH212HT_0090/LH244,8.767714453433733
NCH1_2022,GEMN-0097_PHJ89_0001/LH244,8.683982600054284
NCH1_2022,GEMN-0097_PHJ89_0002/LH244,8.798173440588617
NCH1_2022,GEMN-0097_PHJ89_0003/LH244,8.72044628148029
NCH1_2022,GEMN-0097_PHJ89_0004/LH244,8.795084488133524
NCH1_2022,GEMN-0097_PHJ89_0005/LH244,8.708544019520525
NCH1_2022,GEMN-0097_PHJ89_0006/LH244,8.726016110928445
NCH1_2022,GEMN-0097_PHJ89_0007/LH244,8.770315682903647
NCH1_2022,GEMN-0097_PHJ89_0008/LH244,8.748554701554214
NCH1_2022,GEMN-0097_PHJ89_0010/LH244,8.737452013963829
NCH1_2022,GEMN-0097_PHJ89_0011/LH244,8.685064788424233
NCH1_2022,GEMN-0097_PHJ89_0012/LH244,8.771632563673034
NCH1_2022,GEMN-0097_PHJ89_0013/LH244,8.754587022866525
NCH1_2022,GEMN-0097_PHJ89_0016/LH244,8.71184668626773
NCH1_2022,GEMN-0097_PHJ89_0020/LH244,8.688665543996846
NCH1_2022,GEMN-0097_PHJ89_0023/LH244,8.757666822241154
NCH1_2022,GEMN-0097_PHJ89_0025/LH244,8.767479269477127
NCH1_2022,GEMN-0097_PHJ89_0026/LH244,8.750315655351175
NCH1_2022,GEMN-0097_PHJ89_0027/LH244,8.718869493454042
NCH1_2022,GEMN-0097_PHJ89_0028/LH244,8.779241381425862
NCH1_2022,GEMN-0097_PHJ89_0029/LH244,8.82672951817341
NCH1_2022,GEMN-0097_PHJ89_0033/LH244,8.667556886171337
NCH1_2022,GEMN-0097_PHJ89_0036/LH244,8.828316454489205
NCH1_2022,GEMN-0097_PHJ89_0039/LH244,8.667794615371236
NCH1_2022,GEMN-0097_PHK76_0002/LH244,8.850813977854113
NCH1_2022,GEMN-0097_PHK76_0003/LH244,8.851287907148029
NCH1_2022,GEMN-0097_PHK76_0007/LH244,8.944557400182887
NCH1_2022,GEMN-0097_PHK76_0009/LH244,8.916561297277594
NCH1_2022,GEMN-0097_PHK76_0010/LH244,8.851966323190886
NCH1_2022,GEMN-0097_PHK76_0011/LH244,8.924753761675754
NCH1_2022,GEMN-0097_PHK76_0012/LH244,8.727799951002703
NCH1_2022,GEMN-0097_PHK76_0014/LH244,8.885587884553756
NCH1_2022,GEMN-0097_PHK76_0015/LH244,8.824465383752413
NCH1_2022,GEMN-0097_PHK76_0016/LH244,8.791688710174661
NCH1_2022,GEMN-0097_PHK76_0018/LH244,8.85801805723808
NCH1_2022,GEMN-0097_PHK76_0021/LH244,8.926420968402365
NCH1_2022,GEMN-0097_PHK76_0023/LH244,8.885643560537437
NCH1_2022,GEMN-0097_PHK76_0029/LH244,8.82096075968986
NCH1_2022,GEMN-0097_PHK76_0032/LH244,8.773919637819583
NCH1_2022,GEMN-0097_PHK76_0036/LH244,8.852369226460722
NCH1_2022,GEMN-0097_PHK76_0037/LH244,8.913169063614067
NCH1_2022,GEMN-0097_PHK76_0038/LH244,8.75693039237235
NCH1_2022,GEMN-0097_PHK76_0039/LH244,8.79711237138192
NCH1_2022,GEMN-0097_PHK76_0041/LH244,8.800903122445542
NCH1_2022,GEMN-0097_PHK76_0048/LH244,8.942555561179365
NCH1_2022,GEMN-0097_PHK76_0053/LH244,8.871767004676133
NCH1_2022,GEMN-0097_PHK76_0055/LH244,8.80587284856077
NCH1_2022,GEMN-0097_PHK76_0060/LH244,8.799164602523694
NCH1_2022,GEMN-0097_PHN46_0001/LH244,8.738568219401689
NCH1_2022,GEMN-0097_PHN46_0002/LH244,8.95788306273717
NCH1_2022,GEMN-0097_PHN46_0003/LH244,8.973798148669683
NCH1_2022,GEMN-0097_PHN46_0004/LH244,8.773969190240523
NCH1_2022,GEMN-0097_PHN46_0005/LH244,9.011421543251508
NCH1_2022,GEMN-0097_PHN46_0006/LH244,8.85187029504336
NCH1_2022,GEMN-0097_PHN46_0007/LH244,8.91043914618606
NCH1_2022,GEMN-0097_PHN46_0008/LH244,8.928210111098007
NCH1_2022,GEMN-0097_PHN46_0009/LH244,8.776073821707914
NCH1_2022,GEMN-0097_PHN46_0010/LH244,8.82096075968986
NCH1_2022,GEMN-0097_PHN46_0011/LH244,8.93974863923292
NCH1_2022,GEMN-0097_PHN46_0013/LH244,9.032415046927545
NCH1_2022,GEMN-0097_PHN46_0014/LH244,9.002332333255552
NCH1_2022,GEMN-0097_PHN46_0016/LH244,8.747534577128866
NCH1_2022,GEMN-0097_PHN46_0018/LH244,8.970571894833794
NCH1_2022,GEMN-0097_PHP02_0001/LH244,8.7440939931857
NCH1_2022,GEMN-0097_PHP02_0002/LH244,8.677574699688828
NCH1_2022,GEMN-0097_PHP02_0003/LH244,8.712253290459847
NCH1_2022,GEMN-0097_PHP02_0005/LH244,8.750010068132413
NCH1_2022,GEMN-0097_PHP02_0006/LH244,8.722165252504583
NCH1_2022,GEMN-0097_PHP02_0007/LH244,8.714963688512533
NCH1_2022,GEMN-0098/LH244,8.789893716490248
NCH1_2022,GEMN-0104/LH244,8.896773614752446
NCH1_2022,GEMN-0124/LH244,8.822450791077278
NCH1_2022,GEMN-0135/LH244,8.794415252214014
NCH1_2022,GEMN-0144/LH244,8.733304591968286
NCH1_2022,GEMN-0157/LH244,8.920358602913634
NCH1_2022,GEMN-0177/LH244,8.935042163058718
NCH1_2022,GEMN-0178/LH244,8.978100768098336
NCH1_2022,GEMN-0187/LH244,8.813661430925716
NCH1_2022,GEMN-0192/LH244,8.752704155989282
NCH1_2022,GEMN-0192_LH212HT_0001/LH244,8.810656597866647
NCH1_2022,GEMN-0192_LH212HT_0002/LH244,8.728548421152832
NCH1_2022,GEMN-0192_LH212HT_0006/LH244,8.772465923905902
NCH1_2022,GEMN-0192_LH212HT_0007/LH244,8.698256608215598
NCH1_2022,GEMN-0192_LH212HT_0008/LH244,8.796680905689296
NCH1_2022,GEMN-0192_LH212HT_0009/LH244,8.846276949602405
NCH1_2022,GEMN-0192_LH212HT_0010/LH244,8.702509812336686
