,mse_mean,mse_std,rmse_mean,rmse_std
linear_regression,6.953427141916313,0.07816091532450893,2.6368935467785963,0.014817721609930844
ridge_cv,6.9534278626956905,0.07818168571128215,2.6368936612177296,0.014821677551682306
elastic_cv,6.967202052485734,0.07897775042100434,2.6395034171503537,0.014958721113071614
orthogonal_mp,7.625339935492841,0.09570303204472037,2.761347366133099,0.01733952256082562
bayesian_ridge,6.953497509449704,0.07823004862275007,2.636906815972085,0.01483082363401209
poisson,7.452353504748565,0.09488572156496476,2.7298444685000613,0.017397774230690555
gamma,8.04180196011069,0.10533856370203196,2.835746090395203,0.018602981454824065
ard,6.953832644810738,0.07810062587746444,2.6369705033976927,0.014805709076497727
sgd,7.012138922734307,0.08251494857291909,2.647998490223712,0.015585843167675277
lars,6.953427141916313,0.07816091532450738,2.636893546778596,0.014817721609930496
random_forest,4.107419964775656,0.06953450796480128,2.026604762783829,0.01712017048847947
