,mse,rmse
linear_regression,"[6.93054841661091, 7.000131655064206, 6.972103087228764, 7.060188012575094, 6.9328647553001765, 6.986734792446332, 7.080252604946151, 6.849673062955596, 6.884666516867607, 6.837108515168295]","[2.632593477278805, 2.6457761914160853, 2.640474026993783, 2.657101430614777, 2.6330333752727437, 2.6432432336896907, 2.6608744060827356, 2.617188006803408, 2.6238648053715736, 2.6147865142623585]"
ridge_cv,"[6.930515320421205, 7.000118911182842, 6.972331383718678, 7.060301462941571, 6.932683636139982, 6.9868131694022795, 7.0801548731885635, 6.849796612912261, 6.884537569846396, 6.837025687203138]","[2.632587191418587, 2.645773783070435, 2.640517256849248, 2.657122779049092, 2.6329989814164345, 2.6432580595549653, 2.6608560414251206, 2.6172116102662124, 2.6238402332928725, 2.6147706758343334]"
elastic_cv,"[6.943293215032474, 7.01229779504489, 6.998126195568577, 7.078095921057977, 6.938971868821087, 7.000006177912536, 7.09052585812215, 6.873090647972902, 6.893440424068123, 6.84417242125663]","[2.6350129439971397, 2.6480743560264486, 2.6453971716112075, 2.6604691167269685, 2.6341928306069557, 2.645752478580061, 2.662804134389563, 2.621657995996599, 2.6255362164838107, 2.6161369270847867]"
orthogonal_mp,"[7.610696152684889, 7.680582569961864, 7.740994264619605, 7.750860287569243, 7.502611488358039, 7.574979821132839, 7.736092728380149, 7.604764593738911, 7.593481505519964, 7.458335942962907]","[2.758749019516797, 2.771386398530862, 2.7822642334292413, 2.7840366893360518, 2.7390895363894256, 2.75226812304558, 2.781383240112759, 2.75767376492197, 2.75562724357268, 2.7309954124756244]"
bayesian_ridge,"[6.930493793227455, 7.000141061699067, 6.972981684787458, 7.060628651381667, 6.932339568489293, 6.9870469229231755, 7.0799906069998055, 6.850167228381251, 6.884304090909633, 6.83688148569824]","[2.6325831028150763, 2.6457779690856653, 2.640640392932642, 2.657184346518259, 2.6329336430091232, 2.6433022761165956, 2.660825174076607, 2.617282412805552, 2.6237957410800163, 2.614743101281317]"
poisson,"[7.459849414347095, 7.520187570482821, 7.561747220082956, 7.561492043505865, 7.351289877652782, 7.409174126147465, 7.566965265355619, 7.408763213013555, 7.412891131045353, 7.27117518585214]","[2.7312724899480636, 2.7422960399057614, 2.749863127517978, 2.7498167290759334, 2.7113262211789975, 2.7219798173659306, 2.7508117466223707, 2.721904335757147, 2.7226625077385838, 2.6965116698898486]"
gamma,"[8.085771432466496, 8.11651576222995, 8.17882375804384, 8.134258233219452, 7.934444842389077, 7.96615352513914, 8.153946637205506, 7.992135668858482, 8.022651291911243, 7.8333184496437]","[2.8435490909190393, 2.8489499402814977, 2.859864290144524, 2.85206210192195, 2.816814662413748, 2.8224375148334357, 2.8555116244213585, 2.827036552444712, 2.832428514881045, 2.798806611690722]"
ard,"[6.930931505591412, 6.999620312682324, 6.973464493000504, 7.060746473866216, 6.933846956480203, 6.986239533533231, 7.080833041740937, 6.85140421668731, 6.884205975242969, 6.837033939282277]","[2.6326662351295904, 2.6456795559330923, 2.640731810123948, 2.6572065169772214, 2.6332198838076937, 2.6431495480833527, 2.6609834726546007, 2.6175187137224656, 2.6237770437373236, 2.6147722538076383]"
sgd,"[6.99048832326787, 7.055055240613353, 7.065093566051827, 7.1290639521185435, 6.976295420852858, 7.043568910322002, 7.128788147328401, 6.92789138904648, 6.936586123545133, 6.868558154196593]","[2.643953162079062, 2.6561353957607947, 2.6580243727347246, 2.6700307024673973, 2.6412677677306515, 2.653972288913734, 2.6699790537246546, 2.632088788214881, 2.633739949870741, 2.6207934207404815]"
lars,"[6.930548416610912, 7.000131655064209, 6.972103087228763, 7.060188012575088, 6.932864755300174, 6.9867347924463274, 7.080252604946151, 6.849673062955596, 6.884666516867611, 6.837108515168297]","[2.6325934772788053, 2.6457761914160858, 2.6404740269937825, 2.6571014306147758, 2.6330333752727433, 2.64324323368969, 2.6608744060827356, 2.617188006803408, 2.6238648053715745, 2.614786514262359]"
random_forest,"[4.088907474132469, 4.239217323268983, 4.089168486141377, 4.096817198400566, 4.198474077760432, 4.045977022973135, 4.168861414298939, 4.000941129580905, 4.05514134367217, 4.0906941775275785]","[2.0221047139385413, 2.0589359687151476, 2.022169252595187, 2.0240595837080897, 2.049017832465211, 2.011461414736344, 2.0417789827253436, 2.000235268557403, 2.013738151714907, 2.0225464586821187]"
