Env,Date,QV2M,T2MDEW,PS,RH2M,WS2M,GWETTOP,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M_MAX,T2M_MIN,T2MWET,GWETROOT,T2M,GWETPROF,ALLSKY_SFC_SW_DNI,PRECTOTCORR,Month_Day,Field_Location
ARH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARH2_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARH2_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARH2_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEH1_2022,0,5,5,5,5,5,254,12,254,5,5,5,254,5,254,254,5,0,0
GAH1_2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH1_2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH1_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH1_2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAH1_2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
